,name,poster_link,director,description
0, 캐리비안의 해적: 죽은 자는 말이 없다,https://www.kobis.or.kr/common/mast/movie/2017/04/09339e921c334358881d34d819788048.jpg,"['요아킴 뢰닝', '이스펀 샌드버그']","죽음마저 집어삼킨 복수가 시작된다!전설적인 해적 캡틴 ‘잭 스패로우’(조니 뎁)의 눈 앞에 죽음마저 집어삼킨 바다의 학살자 ‘살라자르’(하비에르 바르뎀)가 복수를 위해 찾아온다. 둘 사이에 숨겨진 엄청난 비밀...잭은 자신과 동료들의 죽음에 맞서 살아남기 위해 사투를 시작하는데...지금, 모든 것을 압도할 거대한 전투가 펼쳐진다!"
1, 오퍼레이션 메콩,https://www.kobis.or.kr/common/mast/movie/2017/05/dd45cd5eea6f4c6286419881f88d15d9.jpg,['임초현'],"전세계를 뒤흔든 거대한 마약 조직과 특수경찰대의 정면승부!메콩강을 지나던 중국 선원 13명이 매복한 괴한들의 공격을 받아 모두 익사체로 발견된다. 현장에서 90만 정에 이르는 마약이 발견되자 중국 정부는 라오스, 태국, 미얀마 3개국 경찰 당국과 합동 작전을 펼친다. 마침내 사건의 배후로 마약왕 ‘누노카’(파왈리트 몽콜피싯)이 지목되고 그를 생포하기 위해 특수경찰대가 파견된다. 성공한 사업가로 위장한 특수경찰팀의 리더 ‘가오강’(장한위)는 수년 동안 위장경찰로서 활약해온‘팡신우’(펑위옌)의 도움으로 조직의 핵심인물의 신뢰를 얻는데 성공한다. 마약 밀매, 납치, 살인 등 범죄를 저지르는 마약 조직원들의 감시를 피해 ‘가오강’(장한위)와 ‘팡신우’(펑위옌)은 마침내 마약왕 ‘누노카’(파왈리트 몽콜피싯)의 은신처에 도착한다. 하지만 순조롭게 마무리될 것 같던 잠입수사는 또 다른 위기를 맞게 되는데…"
2, 더 시크릿 하우스,https://www.kobis.or.kr/common/mast/movie/2018/07/efc46004852446f986d46278b607026b.jpg,['세르지오 G. 산체스'],정신질환 아버지에게 시달려온 다중인격 남성의 이야기를 그린 공포 영화
3, 해피 어게인,https://www.kobis.or.kr/common/mast/movie/2018/02/bd64f67f5323450295a0fa0746ffbc89.jpg,['커트 보엘커']," 파도처럼 밀려오는 고통은 거부할 수도, 없는 척도 못해.하지만 그 고통이 뭔지 제대로 바라보고 이겨나갈 방법을 찾는다면 내일 우린 조금 더 행복해져 있겠지. 가슴 속에 각기 다른 아픔을 지니고 살아가는 빌, 카린, 웨스, 레이시. 외면해왔던 아픔과 마주해야 하는 그 순간, 서로의 존재는 특별한 위로가 된다. 다시 찾아오는 새로운 내일! 우리, 해피 어게인!"
4, 원초적 비디오 테이프,https://www.kobis.or.kr/common/mast/movie/2018/06/541139cb5ee343349c410479d97829b4.jpg,['세바스티안 페릴로'],"몰래 카메라 정사장면 속 그녀를 현실에서 만난 한 남자...그 후 이어지는 충격적인 사건들과 예상치 못했던 반전!방송국 PD로 일하는 마틴은 방송국 자료실에서 영상 자료를 찾던 중 우연히 정사장면이 녹화된 몰래 카메라를 보게 된다. 얼마 후 마틴은 방송국 사장 바탈리아로부터 그의 아내 이사벨을 소개받게 되는데, 그녀는 자신이 본 몰래 카메라 속의 여성이었던 것을 알게 되고 충격에 빠진다. 시간이 흐를수록 이사벨의 매력에서 벗어나지 못하고 그녀 주변을 맴돌게 되는 마틴. 이런 마틴의 집요한 접근에 결국 이사벨은 마틴과 부적절한 관계를 가지게 되고 이후 마틴은 자신의 집에서 시체로 발견되는데..."
5, 업사이드,https://www.kobis.or.kr/common/mast/movie/2019/05/6f17842383cd473eac46139190a43805.jpg,['네일 버거'],"빈털터리와 억만장자의 극한직업 계약 성립!극과 극 두 남자의 단짠단짠 썸앤쌈♥ 동거!떳떳한 가장이 되기 위해 직장이 필요한 ‘델’(케빈 하트)은 24시간 케어가 필요한 뉴욕의 주식부자 ‘필립’(브라이언 크랜스톤)과 면접을 본다.‘이본’(니콜 키드먼)은 전과자에 무신경한 ‘델’이 못마땅하지만 ‘필립’은 자신을 동정하지 않는 ‘델’을 채용한다. 입 떡 벌어지는 주급에 좋은 가장이 될 수 있다는 꿈에 부푼 ‘델’, 기쁨도 잠시.. 첫 날부터 X센 극한직업이 시작되는데.."
6, 알라딘 2,https://www.kobis.or.kr/common/mast/movie/2019/06/f3ffdeb660654747afcba17cb0456d7f.jpg,['리오넬 스테케티'],"동심파괴, 가장 힙하고 유쾌한 알라딘이 온다!어라?! 지니가 두 명이라고!!! 남자 왕비로서의 삶과 궁전 생활에 권태기를 느끼는 알라딘은 궁전을 털기로 결심한다.궁전을 털기로 한 그날, 샬리아 공주를 노리는 이웃 왕국의 샤자만이 나타난다.샤자만은 무력으로 알라딘을 왕국에서 쫓아내고 샬리아 공주와의 결혼을 진행한다.알라딘은 그들의 결혼을 무력화하기 위해 과거에 풀어주었던 지니를 다시 찾아가는데...과연 알라딘은 지니와 함께 왕국과 공주를 되찾을 수 있을까?"
7, 더 룸,https://www.kobis.or.kr/common/mast/movie/2019/09/c6ec1104841a4a13bc53ea783aa5c221.jpg,['크리스티안 볼크만'],매트와 케이트 부부는 외딴 집을 사서 이사를 들어간다. 매트는 벽지 아래 숨겨진 문 하나를 발견하는데 거기엔 무엇이든지 원하기만 하면 생기게 하는 방이 있다. 끝없이 원하는 걸 만들어 흥청망청 살던 어느 날 케이트는 자신이 간절히 원하던 아이를 달라고 하는데…
8, 더 디너,https://www.kobis.or.kr/common/mast/movie/2019/07/da7ebddc55734d689f10b2fd25d27516.jpg,['오렌 무버만'],"주지사 선거를 앞두고 있는 정치인 '스탠'과 그의 아내 '케이트', 그리고 형을 질투하는 동생 '폴'과 아내 '클레어'가 오랜만에 최고급 레스토랑에 모인다. 우아한 코스 요리가 이어지는 저녁식사, 하지만 숨기려 했던 각자의 비밀이 점차 드러나면서 그들의 이야기는 파국으로 치닫는데… 오늘 이 자리에서 모두의 비밀이 공개된다!"
9, 데드 스쿼드: 죽은 자들의 사원,https://www.kobis.or.kr/common/mast/movie/2019/10/1159648a258e45668597f79b8a79bfa2.jpg,['도미니크 하우저'],"고대사원의 충격적인 비밀이 밝혀진다!인간 VS 언데드, 죽음의 서바이벌 START!휴양지에서 만나 친해진 6명의 남녀가 정글로 래프팅을 떠난다. 안내인이 준 지도를 무시한 채 경로를 이탈해서 놀던 이들은 정신없이 놀다가 그만 보트를 잃어버리고 만다. 휴대폰도 터지지 않는 상황에서 결국 정글 속을 걷기로 한 이들.우연히 오래된 사원을 발견하고, 잠시 쉬어 가기로 한다. 하지만 사원을 살피던 중 정체불명의 실험 흔적들이 하나 둘 발견되고, 이들은 그곳에 자신들만 있는 게 아니라는 사실을 알게 되는데…"
