,name,poster_link,director,description
0, 마녀의 관,https://www.kobis.or.kr/upload/up_img/cleansing/60/mov_20081660_12.jpg,['박진성'],"제 1막 : 이상한 여자  고골 원작의  VIY 를 영화화해야하는 젊은 영화감독 P는, 오디션을 통해 뽑은 신인여배우가 어쩐지 불길하다. P는 그녀의 지나칠 정도로 완벽한 재능을, 알 수 없는 이유로 자신에 대한 적개심이라고 해석하게 되는데...제 2막: 마녀의 관  19세기 키예프의 신학생 호마는, 들판에서 마녀를 만나 때려죽인다. 기구한 사연으로 영주의 딸 시신 옆에서 사흘 동안 기도문 낭독을 하게 된 호마. 호마는 이 젊은 아가씨의 시신이 마녀인 것을 알지만 기도문 낭독을 거부할 수 없다.제 3막: 커튼콜  오브리 밴드 뮤지션인 시각장애인 앙리박은, 요즘 매우 행복하다. 젊은 연극인들을 소개받아서, 밴드 일이 끝난 후 극단 음악 감독으로 활동하기 때문이다. 자신의 음악을 완벽하게 이해하고 사랑해주는 예술가 친구들을 얻은 앙리박. 그러나 그의 뒤를 미행한 룸메이트는 극단 연습실을 엿보다 소름끼치도록 무서운 비밀을 목격한다.그리고, 그들은 커튼콜 박수갈채를 받는다.■ 노트러시아 작가 고골의 단편을 각색하여 만든 공포 연대기이다. 마녀라는 존재는 한국 사회에서 문화 전면에 부각된 적은 없다. 페이퍼 백이나 청소년 전집류를 통해 은근히 유통되었던 기묘한 상상력의 존재였다. 박진성 감독은 이러한 추억을 떠올리며 마녀에 대한 기이한 감정들을 이야기와 영상으로 풀어 놓는다. 1부에서는 영화감독 P가 박피디와 함께 배우를 캐스팅하고 촬영하는 과정에서 느낀 이상한 감정을 다루고 있다. 2부는 한 편의 연극이다. 무대가 설정되어 있는 화면 위로 러시아에 사는 인물들의 긴장감 넘치는 대화가 오고 간다. 3부는 일본 공포를 각색했다.  기담 의 시나리오 작가이기도 한 박진성 감독은 첫 장편을 통해 다양한 시간과 공간을 통해 마녀의 환상성을 선보이고 있다. 마녀라는 거부할 수 없는 매력과 힘을 지닌 여성의 힘에 대하여, 마녀라는 역사적인 이미지에 대하여, 마녀를 통한 인간 무의식에 관하여.(이상용) 부산국제영화제 고골의 단편을 각색하여 만든 공포 연대기. 인간이 아닌 존재와 마주하는 공포와 매혹을 3개의 에피소드로 그려 냈다. 1부(이상한 여자), 영화감독 P는 새로 뽑은 여자 배우에게서 기묘한 불길함을 느낀다. 2부(마녀의 관), 19세기 키예프의 신학생 호마는 들판에서 마녀를 만나 때려죽인다. 3부(커튼콜), 눈먼 뮤지션 앙리 박은 유령들의 극단과 함께 일하게 된다. 2부 ‘마녀의 관’ 중 20분가량이 3D로 촬영되어 객석에서 실제 연극 무대를 보는 듯한 느낌을 전해 주며, 마녀의 환상성을 더욱 직접적으로 느낄 수 있다. (시네마디지털서울 2010)"
1, 심장이 뛰네,https://www.kobis.or.kr/upload/up_img/2011/07/mov_3275JD_20110728102311_1.jpg,['허은희'],"여성이 자신의 정체성을 찾아 가는 여정을 여성 감독 특유의 감수성으로 그린 작품. 동의대학교 영화학과 교수인 허은희 감독의 첫 장편 데뷔작. 2009 부산영상위 지원작.“나도… 하고 싶다!” 여자의 욕망을 솔직대담하게 그린 리얼 에로티시즘!37세의 싱글녀, 여교수 주리는 건조한 삶에 갈증을 느끼던 중 우연히 중년의 여성이 주인공으로 나온 야동을 보게 된다. 그 야동 한 편으로 인해 자신의 꿈이 진정 무엇인지 깨달은 주리는 포르노 제작자인 친구 명숙을 찾아가 자신도 포르노 영화에 출연하게 해달라고 무작정 조른다. 마침내 포르노 배우로서 첫 촬영을 나선 그녀는 가슴에 큰 흉터가 있는 파트너 ‘별’과 만난다. 그녀의 멈춰있던 심장은 ‘별’과의 만남을 통해 천천히, 다시 뛰기 시작하는데…"
2, 다른 나라에서,https://www.kobis.or.kr/common/mast/movie/2012/05/cce418ca16584ae1a12e70df5e36d50f.jpg,['홍상수'],"세 명의 안느가  다른나라에서  머문 신비로운 날들  모항이란 해변 마을로 어머니(윤여정)와 함께 빚에 쫓겨 내려온 영화과 학생(정유미)이 불안해서 시나리오를 쓴다: 안느라는 이름의 세 여인(이자벨 위페르)이 등장하고, 그들은 차례로 모항으로 내려온다. 첫 번째 안느는 잘 나가는 감독이고, 두 번째 안느는 한국 남자(문성근)를 비밀리에 만나는 유부녀이고, 세 번째 안느는 한국여자에게 남편을 빼앗긴 이혼녀이다.  모항 갯벌 앞에는 한 펜션이 있고, 그곳엔 주인부부를 대신해 펜션을 지키는 딸(정유미)이 있고, 해변 쪽으로 가면 항상 해변을 서성이는 안전요원(유준상)이 있다. 안느들은 모두 이 펜션에 숙소를 정하고, 그 펜션 딸의 작은 도움을 받게 되고, 또 모두 해변으로 나가 그 안전요원을 만나게 된다."
3, 베를린,https://www.kobis.or.kr/common/mast/movie/2013/01/35b62e362efc4ef08479f63b8f3fbcf9.jpg,['류승완'],"거대한 국제적 음모가 숨겨진 운명의 도시 베를린.  그 곳에 상주하는 국정원 요원 정진수는 불법무기거래장소를 감찰하던 중 국적불명, 지문마저 감지되지 않는 일명 ‘고스트’ 비밀요원 표종성의 존재를 알게 된다. 그의 정체를 밝혀내기 위해 뒤를 쫓던 정진수는 그 배후에 숨겨진 엄청난 국제적 음모를 알게 되면서 걷잡을 수 없는 위기에 빠진다.  한편 표종성을 제거하고 베를린을 장악하기 위해 파견된 동명수는 그의 아내 연정희를 반역자로 몰아가며 이를 빌미로 숨통을 조이고, 표종성의 모든 것에 위협을 가한다. 표종성은 동명수의 협박 속에서 연정희의 무죄를 증명하기 위해서 그녀를 미행하게 되지만, 예상치 못한 아내의 비밀을 알게 되면서 혼란에 휩싸이게 되는데...    국제적 음모와 각자의 목적에 휘말려 서로를 쫓는 이들의 숨막히는 추격전!  2013년, 초대형 액션 프로젝트가 펼쳐진다!"
4, 기억의 소리,https://www.kobis.or.kr/common/mast/movie/2016/12/f8ee1e830b7a4cc6b07a871ddfbf6065.jpg,['이공희'],"의문의 자살을 선택한 언니 윤주 대신에 영화의 주인공이 된 윤희는 타박상으로 눈을 다친다. 영화의 내레이터인 영화감독인 김감독은, 영화 만들기를 통해 영화 속 인물들과 자신을 동일시했던 과거의 윤주를 기억해간다. 윤희는 애인 한기를 멀리하면서 언니 윤주에 대한 기억을 불안하게 넘나든다. 깊고 음산한 동굴로 이끄는 음악에 빠져들었던 윤주처럼, 윤희는 점점 윤주를 닮아간다. 그녀는 언니가 즐겨 찾던 호숫가를 거닐고, 언니처럼 도마질을 하면서 영화의 주인공이 되려고 애쓴다. 그러나 언니의 환영과 환청 속에서 점점 심하게 불안한 강박관념에 빠져든다. 윤희는 숲을 달리면서 폭포에 다다른다. 윤희는 폭포의 핏물로 온몸을 씻고 자신의 죄악을 씻어낸다. 그러나 영혼으로 나타난 윤주는 하얀 천을 끌고 빗줄기가 퍼붓는 숲속으로 사라진다. 작품 노트이 영화는 인간의 전생을 다루면서, 인과응보의 주제를 드러내는 한국의 불교 및 민속신앙과 연결된다. 한국의 가장 독특하고 신비로운 호수로 알려진 경북 청송의 주산지를 보여주면서, 수천 년의 전생을 돌이켜보는 탐험을 해간다.주산지의 주변을 감싼 숲과 기묘하고 아름다운 절경을 보여주면서, 숨겨진 과거의 기억을 돌이켜보는‘심리판타지’의 형식이다. 영화 속 영화 만들기를 통해 드러나는 김감독의 고뇌와 욕망은 여배우 자매의 업과 윤회와 만나면서, 인간의 원죄에 대한 치유와 인간성 회복의 메시지를 보여준다. 죄악에 시달리는 주인공들이 불안한 방황에서 회복하는 것이 이 작품의 포커스이다."
5, 먹이사슬,https://www.kobis.or.kr/common/mast/movie/2014/09/e48a8dd2ae0640b29f8f51793b33f362.jpg,['한동호'],피부관리사 인희(윤설희)와 고교 동창생으로 만나 일찍 결혼생활을 시작한 남혁(김민혁)은 계속되는 취업 실패로 아내에게 자격지심을 느끼게 되고 인희 또한 반복되는 일상에 지쳐가며 서로에 대한 감정의 골이 깊어간다.자괴감에 빠진 남혁은 거리를 배회하다 들어간 카페에서 대기업 과장 행세를 하며 묘한 쾌감에 사로잡히게 되고 매일같이 여사장 주연(연지아)을 찾아가 위로 받고 위로해 주는 사이가 된다. 별다른 직업 없이 누나 주연의 심부름을 하며 용돈을 받아쓰는 봉구(류일송)는 IJ 미애(엄다혜)의 먹방 채널을 보며 즐거워하고 발랄한 그녀에게 점점 빠져든다. 대학원 조교 지훈(손지완)은 클럽에서 만난 미애와 총각시절 즐기기 위한 섹스파트너 관계를 유지하고 있지만 미애는 그와의 관계를 진지하게 생각하고 그에게 집착한다. 한편 미애를 따라 갔던 피부관리실에서 인희를 만나게 된 지훈은 그녀의 단아한 모습에 넋을 잃게 되는데…
6, 빅매치,https://www.kobis.or.kr/common/mast/movie/2014/11/5789254643c54902afdfff960194305b.jpg,['최호'],"액션은 특급! 질주는 본능! 유머는 옵션!천재 악당 '에이스'(신하균)로부터 납치된 형(이성민)을 구하기 위한 불굴의 파이터 '익호'(이정재)의 초특급 무한 질주가 시작된다! 유치장 탈출부터 거대 도박장, 상암 경기장, 서울역에 이르기까지 도심 전체를 무대로 멈추지 않는 질주. 승부의 룰은 단 하나, 멈추면 터진다. 일생일대 목숨을 건 빅매치가 시작된다!   도심 전체를 무대로 천재 악당(신하균)으로부터 형을 구하기 위한 '익호'(이정재)의 무한질주를 그린 초특급 오락액션"
7, 치외법권,https://www.kobis.or.kr/common/mast/movie/2015/07/4ef13c4fb4684a9493e075e5534239b9.jpg,['신동엽'],"대한민국 1, 2위를 다투는 자타공인 또라이들이 만났다!범인만 봤다 하면 일단 패고 보는 프로파일러 ‘정진’.여자 꼬시려고 경찰대 수석 졸업한 강력계 형사 ‘유민’.경찰청장도 포기한 두 또라이 형사가 특수수사본부로 비밀리에 호출된다. 특명!! 또라이는 또라이로 잡아라!그야말로 골칫덩어리에, 내놓은 자식인 두 형사에게대한민국 높으신 분들을 뒤에 업고 법 위에 군림하는 최악의 범죄조직 보스를 잡으라는 명령이 떨어진다. 어떤 명령도, 외압도 받지 않는 특별한 수사팀에 투입된 두 형사. 법보다 주먹이 통하는 세상을 향한 그들의 통쾌한 액션이 시작된다.X같은 세상, 통쾌하게 날려버린다!법보다 주먹이 통하는  치외법권 "
8, 엑시트,,['이상근'],"짠내 폭발 청년백수, 전대미문의 진짜 재난을 만나다! 대학교 산악 동아리 에이스 출신이지만 졸업 후 몇 년째 취업 실패로 눈칫밥만 먹는 용남은 온 가족이 참석한 어머니의 칠순 잔치에서 연회장 직원으로 취업한 동아리 후배 의주를 만난다. 어색한 재회도 잠시, 칠순 잔치가 무르익던 중 의문의 연기가 빌딩에서 피어 오르며 피할 새도 없이 순식간에 서울 도심은 유독가스로 뒤덮여 일대혼란에 휩싸이게 된다. 용남과 의주는 산악 동아리 시절 쌓아 뒀던 모든 체력과 스킬을 동원해 탈출을 향한 기지를 발휘하기 시작하는데…"
9, 마녀 Part2. The Other One,,['박훈정'],"통제불능의 존재가 세상 밖으로 나왔다!‘자윤’이 사라진 뒤, 정체불명의 집단의 무차별 습격으로 마녀 프로젝트가 진행되고 있는 ‘아크’가 초토화된다.그곳에서 홀로 살아남은 ‘소녀’는 생애 처음 세상 밖으로 발을 내딛고 우연히 만난 ‘경희’의 도움으로 농장에서 지내며 따뜻한 일상에 적응해간다.한편, ‘소녀’가 망실되자 행방을 쫓는 책임자 ‘장’과 마녀 프로젝트의 창시자 ‘백총괄’의 지령을 받고 제거에 나선 본사 요원 ‘조현’, ‘경희’의 농장 소유권을 노리는 조직의 보스 ‘용두’와 상해에서 온 의문의 4인방까지각기 다른 목적을 지닌 세력이 하나 둘 모여들기 시작하면서 ‘소녀’ 안에 숨겨진 본성이 깨어나는데…모든 것의 시작,더욱 거대하고 강력해진 마녀가 온다."
