,name,poster_link,director,description
0, 아노말리사,https://www.kobis.or.kr/common/mast/movie/2016/02/67c319c78b904a63bb7a27152913b7c8.jpg,"['찰리 카우프만', '듀크 존슨']","인간이란 무엇일까요? 아픔은 무엇일까요? 산다는 건 무엇일까요?누구에게나 사랑할 사람이 있다는 걸 잊지 마세요이런 사랑은 처음 느껴봤어요…남편이자 아빠 그리고 [고객을 어떻게 대할까]라는 저서로 존경 받는 작가 마이클 스톤은 일상에 찌들어있다. 전문적인 고객서비스에 대한 연설을 위해 신시내티로 출장을 간 프레골리 호텔에서 인생의 반려자가 될지도, 되지 않을 지도 모를 제과회사 세일즈 담당자 리사를 만나면서 자포자기의 권태로운 삶으로부터 탈출할 수 있는 가능성을 발견한다. 한 남자의 긴 밤 동안 펼쳐지는 아름답도록 부드럽고 터무니없이 유머러스한, 꿈같은 스톱모션 여행이 펼쳐진다."
1, 갈리폴리 상륙작전,https://www.kobis.or.kr/common/mast/movie/2015/10/a225b63618e44a859bddd19e2350f619.jpg,['오잔 에렌'],전세계 역사 상 가장 치열했던 전투!살아남기 위해 싸우는 게 아니라 죽기 위해 싸워야 한다!터키 갈리폴리에서 영국군과 터키군이 격렬하게 충돌한다. 당시 세계 최강의 전투력을 갖고 있던 영국군의 막강 전한 군대에 맞서 터키군은 거센 저항을 이어간다. 그러나 더 이상 생존을 바랄 수 없을 정도로 점점 전세는 기울어진다. 죽어도 좋으니 승리만을 꿈꿨던 최강 군인들이 만들어낸 역사 상 가장 끔찍하고 잔혹한 전투 ‘갈리폴리 상륙작전’! 작렬하는 태양보다 더 뜨거운 피가 흘렀던 그 격전이 지금 시작된다.
2, 디시에르토,https://www.kobis.or.kr/common/mast/movie/2016/09/74c8143bb7bb40c2bd39cf195b5d84f3.jpg,['조나스 쿠아론'],"살아야만 하는 자 VS 죽이려는 자 아들을 만나기 위해 미국으로 밀입국을 시도하는 ‘모세’는살벌한 국경지대를 넘던 중 무자비한 킬러에 의해일행들이 총살 당하는 끔찍한 광경을 목격한다. 숨을 죽이고, 땅바닥을 기어서처절하게 도망친 끝에 살아남은 ‘모세’는자신을 겨냥한 킬러의 총구를 피하기 위해 숨을 곳을 찾는데…광활한 사막에서 펼쳐지는 치열한 생존 스릴러가 시작된다!"
3, 마일스,https://www.kobis.or.kr/common/mast/movie/2016/08/b030112a4afa4c8f8ef0f40622f477e9.jpg,['돈 치들'],"재즈를 위해, 재즈로 살았다!폭넓은 표현력으로 음악의 한계를 뛰어넘은 'King of Jazz' 마일스 데이비스(돈 치들).  눈부신 전성기를 맞이하던 그가 알 수 없는 이유로 대중의 시선에서 5년간 사라진다.  롤링스톤즈 기자 데이브 브래든(이완 맥그리거)는  마일스 데이비스의 숨겨진 미발표 앨범이 있다는 사실을 알게 되고 특종을 노리게 된다.  하지만 우연치 않은 사건으로 마일스는 미발표 앨범을 도둑맞고 마일스는 데이브와 함께 앨범을 되찾기 위한 무모하고도 위험한 동행을 시작하게 되는데..    30년간 재즈의 역사를 바꾼 '마일스 데이비스'  그가 유일하게 대중 곁에서 사라진 5년간의 이야기와 숨겨진 앨범의 비밀이 공개된다!"
4, 라스트 데이즈,https://www.kobis.or.kr/common/mast/movie/2016/08/b533e093100a4cc5b03fabf0876210fe.jpg,"['데이빗 패스터', '알렉스 패스터']","전세계가 패닉에 빠지다화산 폭발로 인해 지층에 숨겨져 있던 미지의 바이러스가 세상에 퍼지고, 햇빛에 노출되면 죽게 되는 이상한 질병이 횡행하게 된다. 사람들은 건물 안과 지하에 숨게 되고, 그 안에서 서로 세력 다툼이 일어난다. 대혼란 속 임신한 여자친구를 찾기 위한 마크와 병원에 입원한 아버지를 찾고 있는 엔리케는 서로의 도움을 받아 멀고 험한 길을 떠나게 되는데…"
5, 미드와이프,https://www.kobis.or.kr/common/mast/movie/2016/09/814cb30ced5c40269535f47275f226e2.jpg,['안티 조키넨'],"1944년 제2차 세계대전세상이 끝나도 당신을 기다리겠습니다!1944년 핀란드 라플란드 전쟁 시기, 산파인 헬레나는 핀란드에 주둔하는 독일군 요하네스를 처음 만난 순간 사랑에 빠진다. 간호사로 위장해 요하네스가 있는 티토브카 진영에서 일하기 시작한 헬레나는 탈영한 포로를 체포하기 위해 작전에 나섰다가 폭격에 휘말린다. 헬레나와 요하네스는 진영을 빠져나와 빈 오두막에서 서로의 사랑을 확인하고, 만약 전쟁으로 헤어지게 되면 그곳에서 다시 만나기로 굳게 약속하는데…."
6, 더 파티,https://www.kobis.or.kr/common/mast/movie/2018/11/ec4a882d0a5e4834858cd72a15d63e71.jpg,['샐리 포터'],"비극을 코미디로 유쾌하게 풀어낸  더 파티 는 현대 런던의 한 주택을 배경으로, 영화 속 시간의 흐름과 실제 상영 시간이 거의 일치한다. 자넷은 야당의 보건복지부 예비장관으로 승진한 것을 자축하기 위해 친한 친구들을 집에 초대한다. 이런 날 그녀의 남편 빌은 왠지 모르게 바빠 보인다. 친구들이 하나 둘 도착하고 근황을 나누면서 파티는 점점 무르익는다. 그 와중에 빌의 폭탄선언을 시작으로, 몇 가지 갑작스러운 폭로가 이어지며 사람들은 서로 대립한다. 샴페인으로 시작된 파티는 자기 자신뿐만 아니라 서로에 대한 환상이 걷히며, 바닥에 피가 낭자한 채 마무리된다. (2017년 제19회 서울국제여성영화제)"
7, 성 프란치스코,https://www.kobis.or.kr/common/mast/movie/2017/09/06c1d5463595499fb3baa5e52e1d8695.jpg,"['르노 페리', '아노드 루베']","“주님 보시기에 우린 그저 바람에 흔들리는 풀 같을 뿐이요”1209년 여름, 프란치스코와 ‘작은형제회’는 평등한 인간, 무소유의 삶을 교리로 삼고 교황청에 정식으로 새로운 수도회 설립을 인준해줄 것을 요구하지만 지나치게 이상적인 교리라는 이유로 거절당한다. 그러면서 ‘작은형제회’ 안에서 프란치스코에 반대하는 목소리가 높아지는데…"
8, 네 얼간이와 장례식,https://www.kobis.or.kr/common/mast/movie/2018/09/b750521c391648a195eb002d29633a83.jpg,['마크 램프렐'],"어서 와, 이런 장례식은 처음이지?데이비드의 결혼식에 참석하기 위해 영국에서 호주로 떠난 데이비드와 그의 절친 루크, 톰, 그레이엄.  그런데 결혼식 당일 루크가 술에 취해 절벽에서 떨어져 죽고 만다.  남은 친구 3인방은 루크의 시체를 온전히 가족의 품으로 돌려보내려 하지만 예기지 못한 사건들이 줄줄이 일어난다.  비행기가 추락하고, 루크의 시체를 엉뚱한 차에 실어 보내고, 변태 복장 도착자를 만나는 등 상황은 심각해져만 가는데…"
9, 인퀴지터: 엘도라도의 저주,https://www.kobis.or.kr/common/mast/movie/2018/11/fad662c7c9b24123b997500f2046cecb.jpg,['해리 록'],언론 재벌 대븐포트 가의 상속자 조너선 대븐포트는 아버지를 잃은 슬픔을 잊고자 옛 연인이었던 엘리자베스 칼라일과 함께 수수께끼의 화가 호르헤 에스카미야를 찾아 페루의 밀림으로 떠난다.그곳에서 조너선은 오랫동안 자신과 아버지를 괴롭혀 왔던 대븐포트 가문의 저주를 풀 실마리를 발견하는데…
