,name,poster_link,director,description
0, 인피니티 포스 스페셜 에디션 1,https://www.kobis.or.kr/common/mast/movie/2017/12/3300c3a365df47b3a8971849ed025cc4.jpg,['스즈키 키요타카'],"무료한 일상을 보내던 에미는 바이크 곡예운전이라는 새로운 놀이를 찾아낸다.그런데 우연히 지나가던 시부야 한복판에서 갑자기 내려 꽂힌 빛을 맞게 되는데…그 빛이 사라지면서 이상한 차림을 한 전사들과 이상한 기계군단이 나타난다.에미의 집에서 당분간 지내게 된 켄, 테츠야, 타케시, 죠지. 죠지는 평행세계들이 소멸하고 있으며, 그 범인이 Z라는 인물이라고 설명한다.그리고 그 세계들을 소멸시키는 힘을 가진 케이스가 지금은 에미의 손에 있다는 것을…데미안 그레이와 홀로 싸우러 갔다가 부상당한 타케시. 그리고 데미안 그레이는 운석을 낙하시켜 대형 참사를 일으키려 한다.사람들을 지키기 위하여 히어로들은 힘을 합쳐 운석을 막고 데미안 그레이를 쓰러뜨리기로 하는데…억지로 핼러윈 파티에 참석하게 된 에미는 영 불편한 기분이었다.친구 마리아의 이야기 하나하나가 신경에 거슬려 견딜 수 없었던 에미는 결국 파티장을 뛰쳐나가는데…뒤쫓아온 마리아와 다투고 또다시 밤길을 헤매던 에미는 처음 보는 여자 괴인과 마주친다."
1, 트래쉬 파이어,https://www.kobis.or.kr/common/mast/movie/2018/04/1b85fe172071400e81068e9e08b6f2c8.jpg,['리처드 베이츠 주니어'],"여자친구와 동거중인 불쾌하고 냉소적인 성격의 오웬. 그는 부모님을 잃게 하고 여동생 펄을 불구로 만든 화재에 대한 죄책감으로 나머지 가족과 연락을 끊은 채 정신과 치료를 받고 있다. 그러던 어느 날, 그의 여자친구 이사벨은 임신했다는 사실을 알게 되고 오웬의 가족에게 다시 연락하여 화해할 것을 권유한다. 이에 오웬은 강하게 거부하지만 결국 그들은 가족을 찾게 되는데…"
2, 더 탱크 KV-1 vs 팬저,https://www.kobis.or.kr/common/mast/movie/2019/01/d04ae48c465c48638baca2d563e34c6c.jpg,['콘스탄틴 막시모프'],"사상 최강의 탱크가 격돌한다!제2차 세계대전에서 맹위를 떨치던 독일 탱크 ‘팬저’와  홀로 맞서는 러시아 탱크 ‘KV-1’는 심각한 외상을 입는다. 총공격 명령이 떨어지고, 정비사의 경고에도 고장 난 ‘KV-1’은 다시 전장으로 돌진한다. 드디어 1 대 16의 불가능한 전차전이 시작되는데…  무공훈장을 받은 전설의 탱크전 실화 마침내 가장 위대한 전차전이 공개된다!"
3, 1944 대전투,https://www.kobis.or.kr/common/mast/movie/2020/01/158a4dc579804334a2e751e2853f9a5b.jpg,['데이빗 아부카야'],1944년 가을 유럽에서 전쟁이 격렬하게 벌어진다. 82공수부대 한가운데서 작전 실패로 팔룸보와 소대원들이 고립된다. 독일군 병사들은 연합군의 공격 속에서 저항하며 버티고 있다. 전쟁 속에서 미래 세대를 위해 끝까지 저항하는 독일군. 과연 전쟁에서 승리할 수 있을 것인가?
4, 아트 오브 더 데드,,['롤프 카네프스키'],"윌슨 부부는 경매장에서 동물이 그려진 그림 7점을 낙찰 받아 집 곳곳에 걸어 놓는다. 멘데일은 신부 생활을 하다 우연히 마주한 그림에 악한 기운이 있다는 것을 느끼고, 그림을 없애기 위해 이를 쫓는다. 윌슨 가족은 나태, 교만, 성욕, 탐욕, 식탐, 시기, 분노가 담긴 그림을 보다 현혹돼 자신을 잃고 만다. 킴은 남자 친구인 루이스윌슨의 가족을 만나기 위해 그들의 집에 왔다가 믿지 못할 상황을 목격한다. 과연 이 가족은 무사히 그림 속 죄악으로부터 벗어날 수 있을 것인가."
5, 지저귀는 새는 날지 않는다,https://www.kobis.or.kr/common/mast/movie/2020/06/770d31e8a42f4ea6a11c53c3c9b244d3.jpg,['마키타 카오리'],"사람을 좋아하는 고독을 알았다 그것이 ‘남자’라는 절망도 알았다도신회의 간부이자 신세이 흥업의 사장인 M 취향의 ‘야시로’묵묵히 그의 곁을 지키는 전직 경찰 출신의 경호원 ‘도메키’점차 서로가 끌리게 되면서 운명에 농락당하는데..그들이 원하는 건 ‘사랑’인가, ‘우정’인가?금기의 영역이 드디어 공개된다!"
6, 애프터: 그 후,https://www.kobis.or.kr/common/mast/movie/2020/09/74be5ccb9d994374a3d8e496ab26baeb.jpg,['로저 컴블'],"거부할 수 없는 마성의 캠퍼스 전남친 첫사랑 VS 젠틀하게 선 넘는 직장인 남사친당신의 연애 판타지를 채워줄 빨간맛 삼각 로맨스! 너만의 테사는 더 이상 없어! 첫사랑 하딘이 자신과의 연애를 내기에 걸었다는 비밀을 알게 된 '테사'둘은 헤어지지만 서로의 살결과 숨결을 끊지 못하며 아슬아슬한 썸을 이어간다.이후 대학 졸업을 앞둔 취준생 테사는 대형 출판사의 인턴십에 합격하고 거친 하딘과는 180도 다른 젠틀한 직장 남사친 '트레버'를 만나게 된다. 테사의 두 번째 남자를 만났다 런던으로 떠나기 전에 테사를 향한 진심을 전하고 싶었던 '하딘'테사의 용서를 기다리며 과거의 잘못을 하나씩 고쳐나간다.워크숍 파티에서 취한 테사의 연락에 하딘은 기대 반, 걱정 반 마음으로 결국 테사의 호텔 룸에 찾아가고, 샤워실에서 그녀석 '트레버'와 마주치는데…"
7, 뱅가드,https://www.kobis.or.kr/common/mast/movie/2020/12/dca827da2f9c45618c687d5ac6a0d234.jpg,['당계례'],"‘탕환팅’(성룡)이 이끄는 국제 민간 경호업체 뱅가드.새해 축제가 한창인 런던 한복판에서 VIP 고객이 범죄 조직에 납치되고 뱅가드는 그를 구출하는 데 성공한다. 이에 분노한 범죄 조직은 VIP 고객의 딸을 새로운 타깃으로 삼고, 그들보다 먼저 아프리카에 있는 그녀를 찾아 보호하는 과정에서 뱅가드의 팀원 ‘레이전위’(양양)가 위험에 처한다.두바이로 넘어가 구출 작전을 펼치던 뱅가드는 거대한 배후 세력의 음모와 마주하게 되는데…뱅가드의 2020년 마지막 미션이 시작된다!"
8, 웬디고: 전설의 몬스터,https://www.kobis.or.kr/common/mast/movie/2020/12/53cca7e53de14c009b95e44f6d2e7edc.jpg,['브루스 윔플'],"결혼을 앞둔 애덤과 그의 친구 거스는 총각 파티를 대신해 하이킹에 나선다.본격적인 하이킹을 시작하기 전날 묵은 숙소에서 거스는 이상한 그림을 발견하고, 숙소 주인은 그림 속 전설의 괴물 웬디고에 관한 이야기를 들려준다.이야기 때문인지 밤새 잠을 설친 거스는 깨어나자마자 칼을 맞고 죽어 있는 애덤을 발견하는데..."
9, 레드,,['미시마 유키코'],"토코는 멋진 남편과 귀여운 딸과 함께 남부럽지 않은 삶을 사는 것처럼 보인다. 하지만 10년 만에 옛 애인 쿠라타를 마주치자 마음속 깊이 간직한 복잡한 감정이 조금씩 되살아난다. 한편, 쿠라타에게는 비밀이 있다. 과거와 현재가 충돌하는 순간, 토코는 아무도 상상하지 못할 결심을 내린다."
10, 더 렛지,https://www.kobis.or.kr/common/mast/movie/2022/05/4f62a458c45144f887274e48f9d462d4.jpg,['하워즈 J. 포드'],친구와 함께 암벽등반을 간 켈리는 그곳에서 만난 남성들에게 친구가 살해당하는 것을 목격하고 카메라로 찍는데…쫓아오는 그들을 피할 곳은 눈앞의 거대한 암벽뿐.아찔한 높이의 절벽에서 살아남아야 한다!
11, 깡패법칙,https://www.kobis.or.kr/common/mast/movie/2011/11/a8bfc4998086468faa189e1fad6b6483.jpg,"['조명화', '고배위']",고아원에서 함께 자란 네 명의 젊은이가 성장후 마약조직의 돈을 빼 돌리다가 모두 죽는다는 내용
