,name,poster_link,director,description
0, 다크 인카운터,https://www.kobis.or.kr/common/mast/movie/2022/03/97398bcc43934bff8d597c72215c4057.jpg,['칼 스트레이티'],"미지의 빛과 함께 다가오는 괴이한 현상들 그리고 밝혀지는 충격적 진실!!!1982년, 아무 일도 일어나지 않을 것 같은 한적한 시골 마을에서 8살 소녀 메이지가 실종되었다!메이지 실종 1년 후, 가족들끼리 조촐하게 열린 추모식 저녁갑자기 근처 숲에서부터 이상한 빛과 소리가 들려오고 이해할 수 없는 기괴한 현상들이 점차 메이지 가족들을 덮치며 실체를 알 수 없는 거대한 생명체와의 사투를 벌인다.그리고… 메이지 실종의 충격적인 진실을 마주하게 되는데…"
1, 모든 천사는 수위를 꿈꾼다,https://www.kobis.or.kr/common/mast/movie/2011/12/7e663b5aa11848489899f1ebff4c340c.jpg,['김환진'],작은 학교인 고정초등학교는 이제 학생 수가 네 명밖에 되지 않아 폐교의 지경에까지 이르렀다. 어느 날인가 학교를 찾은 두칠은 아버지의 직업을 이어받아 이 학교의 수위가 되고 싶다는 희망을 품는다. 교장선생님이 시킨 일거리들을 하나씩 해내면서 두칠은 학교를 조금씩 바꿔간다. 우물에 빠져 죽은 줄로만 알았던 만수를 데리고 나와 학생 수가 다섯이 된 고정초등학교는 이제 신입생들이 들어오기 시작한다.
2, 정글,,['정승희'],"평범한 청년인 X가 하루동안 겪는 에피소드를 통해, 현대 사회의 일상에 내제한 폭력성과 개인이 겪게 되는 심리적 불안감을 표현한 작품."
3, 사마리아,https://www.kobis.or.kr/upload/up_img/cleansing/x00/00/86/mov_20040505_38469.jpg,['김기덕'],"유럽 여행을 갈 돈을 모으기 위해 채팅에서 만난 남자들과 원조교제를 하는 여고생 여진(곽지민 분)과 재영(서민정 분). 여진이 재영인 척 남자들과 채팅을 하고 전화를 걸어 약속을 잡으면, 재영이 모텔에서 남자들과 만나 원조교제를 한다. 여진은 재영이 남자들을 만나기 전 화장을 해주고, 그녀가 남자들을 만나고 있는 동안 밖에서 기다린다. 낯 모르는 남자들과 만나 섹스를 하면서도 항상 웃음을 잃지 않는 재영. 여진은 남자들과의 만남과 섹스에 의미를 부여하는 재영을 여진은 이해 할 수가 없다. 여진에게 어린 여고생들의 몸을 돈을 주고 사는 남자들은 모두 더럽고 불결한 존재일 뿐이다. 그러던 어느 날, 모텔에서 남자와 만나던 재영은 갑자기 들이닥친 경찰들을 피해 창문에서 뛰어 내려 여진의 눈 앞에서 죽게 된다.   재영의 죽음에 커다란 충격을 받은 여진은 재영의 죽음을 위로하기 위해 재영의 수첩에 적혀 있는 남자들을 차례로 찾아간다. 재영 대신 남자들과 원조교제를 하는 여진. 원조 교제 후 재영이 전에 받았던 돈을 여진이 차례로 돌려주자 남자들은 오히려 평안을 얻게 된다. 남자들과의 잠자리 이후 남자들을 독실한 불교 신자로 이끌었던 인도의 바수밀다와 같이 여진 또한 관계를 맺은 남자들을 차례로 정화해 나간다.   사건 현장에 나갔다가 우연히 옆 모텔을 보게 된 형사 영기(이얼 분)는 모텔에서 남자와 함께 나오는 여자가 자신의 딸 여진임을 알게 된다. 아내 없이 오직 하나뿐인 딸만을 바라보며 살아온 영기에게 딸의 매춘은 엄청난 충격으로 다가오고, 이후 영기는 계속해서 여진을 미행하기 시작한다. 하루하루 남자들을 만나는 여진을 미행하던 영기는 여진과 만나는 남자들에게 접근하기 시작하는데..."
4, 사랑할 때 이야기하는 것들,https://www.kobis.or.kr/upload/up_img/cleansing/x00/02/25/mov_20060339_42026.jpg,['변승욱'],"사랑이 부담스러운 남자친절한 동네 약사 '인구'(한석규). 정신지체를 앓고 있는 형 때문에 사랑도 결혼도 부담스럽다.사랑이 사치인 여자까칠한 성격의 동대문 짝퉁 디자이너 '혜란'(김지수). 나이 먹고도 철 없는 엄마와 동생 때문에 사랑은 사치다. 수면제 좀 주시면 안돼요?  잠이 안 오시면 술을 한잔 하시든가... 옛 여자친구의 결혼소식에 마음이 착잡해 맥주를 마시던 인구의 약국에 수면제를 사러 들어온 혜란. 인구는 수면제 대신 맥주 한 캔을 내민다.  잠 안 오는 덴 약보단 술이 더 나아요. 사랑이 둘만 좋다고 되는 거야?생각지도 못했던 사랑을 시작하게 된 그들.그러나 사랑이 커갈수록 현실의 짐은 커져만 간다.어머니의 사고로 혼자 형을 책임지게 된 인구와 여동생의 갑작스런 결혼문제로 고민에 빠진 혜란.서로의 속마음은 감춘 채 사랑을 포기하려 하는데...사연 많은 그 남자와 그 여자사랑, 정말 둘만 좋아서는 안 되는 걸까?"
5, 크로싱,https://www.kobis.or.kr/upload/up_img/cleansing/63/mov_20080663_11.jpg,['김태균'],"2007년, 북한 함경도 탄광마을의 세 가족 아버지 용수, 어머니 용화 그리고 열 한 살 아들 준이는 넉넉하지 못한 삶이지만 함께 있어 늘 행복하다. 어느 날, 엄마가 쓰러지고 폐결핵이란 사실을 알게 되자, 간단한 감기약조차 구할 수 없는 북한의 형편에, 아버지 용수는 중국 행을 결심한다. 생사를 넘나드는 고비 끝에 중국에 도착한 용수는 벌목장에서 일을 하며 돈을 모으지만, 불법 현장이 발각되면서 모든 돈을 잃고 경찰에 쫓기는 신세가 된다. 그러던 어느 날, 간단한 인터뷰만 해주면 돈을 받을 수 있다는 얘기에, 아무것도 모른 채 용수는 인터뷰에 응하기로 한다. 그러나, 그것이 가족과 완전히 헤어지는 길이 될 줄은 모른 채 …  한편 용수가 떠난 뒤, 2달여가 지나자 용화의 병세는 점점 더 악화되고, 마침내 용화는 세상을 떠난다. 이제, 세상에 홀로 남겨진 열 한 살 준이, 무작정 아버지를 찾아 떠난다. 그리고, 한국에 도착한 용수는 브로커를 통해 준이의 행방을 알게 되고, 다시금 헤어졌던 준이와 용수의 불가능해 보였던 만남이 시도된다! 하지만, 아버지 용수와 아들 준이, 그들의 간절한 약속은 안타까운 엇갈림으로 이어지는데…"
6, 스물 아홉살,https://www.kobis.or.kr/upload/up_img/2011/03/mov_3GBD2A_20110308091400_1.jpg,['전화성'],청년실업의 고통과 물질만능주의 연애사상 속에서 29살 청년의 진실한 사랑 찾기가 시작된다.
7, 동창생,,['박홍수'],"소년의 임무  “너하고 니 동생이 여기서 나갈 수 있는 방법은 딱 한가지다”  명훈(최승현)은 남파공작원인 아버지의 누명으로,  여동생 혜인(김유정)과 단 둘이 살아 남아 요덕 수용소에 감금된다.  그 곳에서 그는 정찰국 소속 장교 문상철(조성하)에게 동생을 구하려면  남으로 내려가 공작원이 되라는 거절할 수 없는 제안을 받는다.    소년의 운명  “나한테 이러면 안되죠. 시키는 대로 다 했잖아요”  동생을 지키기 위해, 고등학생 강대호로 위장해 어떤 지령도 마다하지 않던 명훈은  동생과 같은 이름에 늘 혼자인 혜인(한예리)을 눈 여겨 보게 된다.  그러나 시간이 지날수록 그의 임무는 위험해져 가고…  동생과 함께 평범하게 살고 싶었을 뿐인 명훈의 꿈은 과연 이뤄질 수 있을까?    열 아홉, 소년의 약속  동창생 "
8, 불륜의맛,https://www.kobis.or.kr/common/mast/movie/2014/06/c7f462abb70c4171b257a99b6a970b9c.jpg,['이세일'],"한 때 모든 여자들이 따르며 좋아하던 플레이보이 용민, 그런 그에게도 그가 진심으로 사랑하는 여자 태연이 있었다. 하지만 그녀는 그의 바람기 때문에 도저히 만날 수가 없어 결국 헤어짐을 고하고, 헤어짐의 과정에서 있었던 격한 실랑이… 그 실랑이 끝에 용민은 자신의 시력을 잃게 되는 사고를 당한다. 사고 그 후, 용민은 수애라는 여자를 만나 결혼을 하게 되지만, 시력과 동시에 성욕도 잃어버린 용민은 수애와 원만한 부부생활을 유지하기가 어렵다. 그러던 어느 날, 호영-수정 부부가 그들의 옆집으로 이사를 오게 되고, 자상한 남편 호영에게 수애는 자신도 모르는 흠모의 정을 품게 되는데…"
9, 옹녀뎐,,['경석호'],"이 세상 그 어떤 남자도 감당할 수 없는 조선 팔도 최고의 음녀, 옹녀(한채유). 그녀의 눈부신 미모와 화려한 밤 실력에 홀려 찾아온 마을 남자들이 모두 성 불구자가 되어버린 탓에 옹녀는 고향에서 쫓겨난다. 어쩔 수 없이 혼자 깊은 산에서 살아가기 시작한 옹녀의 소문을 들은 변강쇠(강경우)는 자신의 천생연분이 바로 옹녀라는 것을 직감하고 그녀와 하룻밤을 보내기 위해 먼 길을 떠난다."
