,name,poster_link,director,description
0, 피쉬 프렌즈: 알록이의 신기한 모험,https://www.kobis.or.kr/common/mast/movie/2018/07/73080181073e40a0bb4e140dcd8a53a5.jpg,['부르한 군'],"신나고 즐거운 아쿠아 월드로 다 함께 풍~덩!평화롭고 즐거운 아쿠아 월드.  하지만 물 밖에 분명 다른 세상이 있다고 믿는 알록이는  아쿠아 월드 바깥세상을 모험을 떠나려고 점프를 시도한다.  한편, 못된 옥토대마왕이 마을 물고기들을 세뇌시켜 먹이를 모두 차지하려하고  이에 알록이는 핑키, 노랑이, 파랑이. 초록이 친구들과 함께 힘을 합쳐 옥토대마왕에 맞서기 시작하는데.."
1, 출동! 소방관 샘: 외계인 대소동,https://www.kobis.or.kr/common/mast/movie/2018/10/29121de3a6e242b2a10f7b2374039610.jpg,['개리 앤드류스'],"도와줘요! 소방관 샘!어두운 숲 속은 물론 가파른 절벽까지, 위험에 빠진 사람들이 있는 곳이라면 어디든지 달려가 사람들을 구해주는 최고의 영웅 소방관 샘.샘 덕분에 평화로운 나날을 보내던 폰티판디 마을에 어느 날 정체불명 불빛이 포착되고, 인기 TV쇼 ‘출동! 외계인 탐험대’의 MC 벅 더글러스가 찾아온다. 들뜬 마을 사람들과 말썽꾸러기 아이들은 외계인 탐험대가 되기 위해 UFO를 찾아 나서고, 급기야 아이들이 있는 숲에 큰 산불이 발생하는데...언제 어디서나 위험한 일이 생기면 소방관 샘, 출동!"
2, 악몽의 미드나잇,https://www.kobis.or.kr/common/mast/movie/2018/08/944c86a28c4b4c62a5891e4fd4244cc9.jpg,['크리스토퍼 레이'],"살인자들이 돌아오면 사냥은 시작된다.과거의 잔혹한 연쇄 살인 사건의 비밀을 간직한 어느 한적한 시골 마을.  섣달 그믐날, 일곱명의 친구들과 동생을 찾는 배낭 여행객이 산 속의 황량한 스키 오두막에 우연히 모이게 된다.  하지만 이것은 모두 살인에 중독된 일가족이 꾸민 함정이다.  이들은 사람 가죽으로 만든 기괴한 가면의 살인마들과 죽고 죽이는 혈투를 벌이게 된다."
3, 리지,https://www.kobis.or.kr/common/mast/movie/2019/10/c7e1ce7a060d43219fa2b07604874575.jpg,['크레이그 맥닐'], 아무도 널 구해줄 수 없어 메사추세츠의 대부호 보든 가의 상속녀 리지(클로에 세비니)호시탐탐 아버지의 유산을 노리는새엄마와 삼촌이 두렵다 그러던 어느 날 새로 온 하녀 브리짓(크리스틴 스튜어트)이리지에게 말을 건네고둘은 은밀한 만남을 이어가기 시작한다 당신을 위해 무엇이든 할게요 
4, 콜드 스킨,https://www.kobis.or.kr/common/mast/movie/2018/11/8dd39dc7e14e490a89ee7945f4ef784c.jpg,['자비에르 젠스'],"여태껏 보지 못한 새로운 생명체다윈의 진화론은 거짓이었다!외딴 섬, 단 두 명의 해양 관측사와 등대지기밤이면 차가운 피부를 가진 놈들이 습격해온다.낮에는 전투를 준비하고, 밤에는 끝없는 사투가 이어지는데..어두워지면 어김없이 처절한 사투가 시작된다!"
5, 다이노 어드벤처: 에일리언 월드,https://www.kobis.or.kr/common/mast/movie/2019/01/c1d8b954e7744c7fa840bd5d18865cda.jpg,['마이크 데빌린'],"독특하고 특별한 공룡들이 몰려온다! 최근 발견된 새로운 종류의 공룡 화석을 통해, 조류와 공룡과의 연관성이 드러났으며 공룡의 색깔이 밝혀졌는가 하면, 주어진 환경에 적응해 다양한 모습으로 진화한 흔적들도 찾을 수 있다. 독을 치명적인 무기로 사용하고, 마치 조류처럼 알을 품고 새끼들을 보호하는 등 공룡에 대한 기존의 고정 관념을 깨뜨리는 다양한 공룡들의 모습이 소개된다. 놀라운 생존 능력과 거대한 몸집을 바탕으로 오랫동안 지구의 주인이었던 공룡은 영원히 지구를 지배할 것 같았지만, 뜻하지 않은 소행성을 충돌로 인해 공룡시대도 그 최후의 순간을 맞이하게 된다."
6, 사탄의 인형,https://www.kobis.or.kr/common/mast/movie/2019/12/59216e92a8874979a3ed4adbc6f76be2.jpg,['라스 클리브버그'],"“같이 놀자, 친구가 되어줄게”생일 선물로 꼭 갖고 싶었던 인형을 받게 된 ‘앤디’늘 혼자였던 그에게 ‘처키’는 유일한 친구가 되어준다.가장 친한 친구 ‘앤디’를 소유하고 싶은 처키는 점차 사악한 본성을 드러내기 시작하는데…“우리, 이제 놀 시간이야” ‘그것’ 제작진의 새로운 놀이가 시작된다"
7, 마담 싸이코,https://www.kobis.or.kr/common/mast/movie/2019/06/986c732c213946c89553779f0c1c6b95.jpg,['닐 조단'],뉴욕에 살고 있는 젊은 여성 ‘프랜시스’는 지하철에서 주인 없는 핸드백을 줍는다. 가방의 주인은 혼자 살고 있는 중년의 여인  ‘그레타’.엄마를 잃은 상실감에 빠져있던 프랜시스는 핸드백을 찾아주면서 그레타와 빠르게 가까워진다.저녁식사에 초대받은 프랜시스는 우연히 그레타가 핸드백을 미끼로 젊은 여성들과 친해진다는 소름끼치는 사실을 알게된다.그레타는 프랜시스를 집요하게 쫓아다니며 본색을 드러내기 시작하는데…
8, 테슬라,https://www.kobis.or.kr/common/mast/movie/2020/10/6d76d1473e714a58bc5ebb7b41aed2d7.jpg,['마이클 알메레이다'],"“내 업적과 성과는 미래에서 평가 받을 것이다”니콜라 테슬라는 교류 전류 전송 시스템으로 에디슨과의 경쟁에서 승리를 거머쥔다.하지만 작은 승리로 만족할 수 없었던 테슬라는 세상의 패러다임을 바꿀 위대한 발명에 착수한다.그의 발명은 다름아닌 빛, 에너지 정보를 전 세계에 무선으로 전송하는 혁신적인 기술.막대한 연구비가 필요한 그는 최고의 자본가인 J. P. 모건의 도움을 구하게 되고 콜로라도의 연구소에서 하늘로 번개를 쏘아 올리는 연구를 시작하게 되는데...“미래가 알고 싶다면 10월, 테슬라를 만나라!”"
9, 밀정 1930,https://www.kobis.or.kr/common/mast/movie/2020/10/8ee7610e7fe1491ca0bf0d7b172082e4.jpg,['종소웅'],"동양의 파리로 알려진 화려한 1930년대 상해.그러나 화려한 노래와 춤의 이면에는 일본군들의 잔인함과 공포가 깔려 있다.일본군은 중국의 언론 매체를 철저히 통제하고 영국과 프랑스의 사설 라디오 방송국도 등록을 의무로 한다.이 작전을 지휘하는 일본 첩보국은 상해 하늘 아래에서 일본이 승인한 방송국만이 살아남을 수 있다고 당당히 선언한다.그러던 어느 날, 임상은 동포들을 위해 새로운 방송 수단을 재건하는 임무를 받게 되는데…"
