,name,poster_link,director,description
0, 테스와 보낸 여름,https://www.kobis.or.kr/common/mast/movie/2020/08/efd3134f0bcf425f9dac97622c7ced33.jpg,['스티븐 바우터루드'],바닷가 휴양지로 가족과 함께 떠난 소년 샘은 죽음에 대해 생각하는 중이다. 혼자 남게 될 경우를 대비해  외로움적응훈련 을 하는 괴짜 소년은 휴양지 게스트하우스를 운영하는 테스라는 소녀를 만나 테스의 엉뚱한 계획에 동참하게 된다.
1, 12명의 죽고 싶은 아이들,https://www.kobis.or.kr/common/mast/movie/2019/07/684002bb9acc47cb875d22cfac72731d.jpg,['츠츠미 유키히코'],"“죽고 싶어, 하지만 다른 사람이 날 죽이는 건 싫어. 폐병원에 12명의 죽고 싶은 아이들이 모인다.아이들의 미션은 ‘집단 안락사’.그런데 그곳에서 아직 온기가 남아 있는 13번 참가자의 시체와 마주하게 된다.함께 안락사하기 위해 모였다가 갑작스런 일에 휘말려 버린 그들.곳곳에는 범행의 흔적이 부자연스럽게 남아 있고, 기묘한 사건들이 차례로 일어나기 시작한다.그들은 '무사히' 죽을 수 있을까?"
2, 소림쿵푸: 마지막 대결,https://www.kobis.or.kr/common/mast/movie/2019/11/6d26aa1c6b8e4e65839ff620aa3c8f6d.jpg,['브라이언 렁'],천하제일방인 홍방과 천하무공의 정수를 융화한 음양교가 대립하며 온 무림이 정파로 사파로 갈린 그때! 정파 홍방의 장로들이 연이어 의문사 하는 사건이 벌어진다. 이 모든 것이 사파의 음모라는 것을 깨달은 홍방의 방주 칠공은 무림의 존폐를 건 마지막 대결을 준비한다.
3, 블러드샷,https://www.kobis.or.kr/common/mast/movie/2020/05/984d08f8a9ed4d3290a63ebb601f0098.jpg,['데이브 윌슨'],"가장 강력하고 새로운 슈퍼 히어로의 탄생!아내와 함께 휴가를 보내던 특수 부대원 ‘레이’(빈 디젤)는 정체불명의 적에게 납치되어 살해당한다. 혈액 속에 수많은 나노봇을 주입하는 최첨단 프로젝트 블러드샷을 통해 부활한 레이.놀라운 치유력과 가공할 만한 파워의 슈퍼 히어로로 업그레이드된 레이는 아내를 죽인 놈을 찾아 무차별적인 복수의 질주를 시작한다. 하지만, 자신이 진짜라고 생각했던 것들이 거짓임을 깨닫게 되는데…복수의 시작, 액션의 끝! 2020년 액션 블록버스터의 최종 진화를 확인하라!"
4, 탱크 투 베를린,https://www.kobis.or.kr/common/mast/movie/2020/12/60f4860216c349ae9e217681b17201ed.jpg,['세르게이 포포브'],"제2차 세계대전, 사형 선고를 받게 된 통신 장교 ‘세르게이 레오니도비치’ 중위그를 감시해야 하는 임무를 받은 ‘주르바예프’사형수와 감시자, 전혀 다른 두 사람은 목적지인 육군 본부로 향하면서 극적인 사건들과 마주하게 되는데..  제2차 세계대전의 격돌, 그 속에서 피어나는 감동과 우정!"
5, 살아남은 사람들,https://www.kobis.or.kr/common/mast/movie/2021/01/e591cb32ccf147efab1ad747a76ebc1e.jpg,['바나바스 토트'],"제2차 세계대전 직후 헝가리 부다페스트.부모가 행방불명 된 소녀 ‘클라라’는 홀로코스트로 가족을 모두 잃은 의사 ‘알도’를 만나 나이를 뛰어넘는 친구가 된다.점점 딸과 아버지처럼 서로를 돌보며, 오랫동안 잊고 살아온 삶의 달콤함과 따뜻함을 다시 맛본다.하지만 스탈린 지배 하의 경직된 헝가리 사회는 둘의 관계를 차갑게 예의주시하는데…시대의 비극 속에서도 온기를 잃지 않은 아름다운 사람들의 이야기가 시작된다."
6, 내가 죽기를 바라는 자들,https://www.kobis.or.kr/common/mast/movie/2021/04/1afe48f09a354db8acadb4840850049e.jpg,['테일러 쉐리던'],"난 널 반드시 구할 거야삶과 죽음의 불길이 타오른다!화재 현장에서 세 명의 아이를 구하지 못한 죄책감과 트라우마로 감시탑에 배정된 공수소방대원 한나는 거대 범죄의 증거를 가지고 도주 중인 소년을 만난다. 한편 소년을 쫓던 두 명의 킬러는 사람들의 눈을 돌리기 위해 불을 내고 삽시간에 번져가는데… 죽이려는 자와 지키려는 자, 거대한 불길 속에서 치닫는 생사를 건 대결.그날 밤, 삶과 죽음이 타오르는 불길 속에 모두가 있었다!"
7, 더 하더 데이 폴,https://www.kobis.or.kr/common/mast/movie/2021/10/623dadd483d44e4798ce99bf57f41a88.jpg,['제임스 새뮤얼'],숙적 루푸스 벅이 출소한 사실을 알게 된 서부의 무법자 냇 러브가 미뤄뒀던 복수를 마무리하기 위해 흩어졌던 팀을 모아 그의 뒤를 추격하며 벌어지는 활극을 그린 서부영화
8, 퇴마행자,https://www.kobis.or.kr/common/mast/movie/2022/05/b8e256672a9e490b9d6b7ac1bf36412e.jpg,"['황관보', '안광흥']", 천녀유혼 의 전설적인 퇴마사 연적하. 그가 난약사에 머물며 마물들과 대결해야 했던 숨겨진 이야기가 공개된다. 한동안 평온하던 세상에 다시 흑산 괴물이 출몰한다. 쿤룬파 퇴마사들조차 이를 감당 하지 못했다. 연적하가 신뢰하는 마을의 전령이 죽은 영혼의 꽃의 모습과 마을 주변의 기이한 모습을 알리고 연적하에게 도움을 청했다. 연적하는 결국 마물과 대결하지만 불길한 예언을 벗어나지 못한다.
9, 라스트 선,https://www.kobis.or.kr/common/mast/movie/2022/07/9b015829b41e4ed68ebf0c9162e32ffe.jpg,['팀 서튼'],“내 평생 사람들은 나를 두려워했어”‘샤이엔족’ 말살이라는 추악한 임무들로 인해 당대 최악의 살인마가 된 ‘아이작 르메이’혈육에 얽힌 저주 때문에 죽을 위기에 놓인 그는 살기 위한 일생일대의 살인 계획을 진행하는데…
10," 결혼은, 미친짓이다",https://www.kobis.or.kr/upload/up_img/cleansing/x00/00/60/mov_20020122_36409.jpg,['유하'],"친구의 결혼식 사회를 보는 댓가로 소개팅을 하게 된 준영. 지적이고 매너 좋은 대학 강사인 그는 연애지상주의자다. 셀레민트껌 향기를 풍기며 나타난 연희는 섹시하고 당돌한 조명 디자이너. 가식적인 질문과 대답이 이어지며 3차로 술집까지 가게 된 두 사람은 총알택시 비용보다 여관비가 더 쌀 것 같다는 대화를 나누다 어느새 여관으로 직행하고, 그들의 대화만큼 솔직한 섹스가 포르노처럼 이어진다. 서로 다른 꿍꿍이를 갖고 연애를 시작한 두 사람. 하지만 결혼은 조건좋은 남자와 하고, 연애는 준영과 하고 싶었던 그녀는 다른남자와 결혼을 하고 준영과의 관계는 계속 지속한다. 과연 그녀는 들키지않고 둘 다 잘해낼 수 있을까?"
11, 고양이와 나,,['안동희'],"비 오는 날, 아이는 상자 안에 버려진 고양이를 발견한다. 고양이를 주워 온 아이는 고양이를 보살피다가 잠이 들고, 부모의 소란스런 싸움소리에 깨어나 고양이를 찾으려하지만 찾을 수가 없다. 점점 격해져 가는 부모의 싸움 속에서 아이는, 고양이와 즐겁게 놀면서 고양이와 자신을 동일시하게 되는 환상 속으로 빠져든다."
12, 무산일기,https://www.kobis.or.kr/upload/up_img/2011/04/mov_3DAGJI_20110408134357_1.jpg,['박정범'],"125로 시작되는 주민등록번호는 북한에서 온 사람에게 붙여주는 숫자이다. 남한 사회에서 살아가려고 애쓰지만 서로를 속여 가며 그들끼리도 불신감이 쌓여간다. 전승철은 삶을 견딜 수 있을까. 박정범 감독은 주인공과 연출을 동시에 해내면서, 한국 사회의 어둠을 스크린 위로 끌어 올린다125로 시작되는 주민등록번호는 북한에서 온 사람들에게 붙여주는 숫자이다. 탈북자라는 이유로 제대로 된 일자리를 얻기 힘든 승철은 벽보를 붙이는 일로 근근이 먹고 산다. 그에게 있어 유일한 낙은 주일마다 같은 교회에 다니는 숙영을 만나는 일.  그러던 어느 날 승철은 숙영이 노래방에서 일한다는 사실을 우연히 알게 되고 알바로 취직한다. 하지만 숙영은 승철에게 자신을 모르는 척 해달라고 부탁한다. 한편 유일한 친구였던 경철은 탈북자 브로커 일이 잘못돼 도망자 신세가 되고 승철에게 자신의 전부가 달린 마지막 부탁을 하는데..."
13, 고양이: 죽음을 보는 두 개의 눈,https://www.kobis.or.kr/upload/up_img/2011/06/mov_DF4I37_20110622092016_1.jpg,['변승욱'],"구해줘...어릴 적 충격으로 폐소공포증을 앓고 있는 ‘소연’. 어느 날 소연이 일하는 펫숍에 다녀간 고양이 ‘비단이’의 주인이 엘리베이터에서 의문사하는 사건이 벌어진다. 알 수 없는 공포에 질린 참혹한 모습으로 발견된 ‘비단이’의 주인. 죽음의 순간, 밀폐된 공간에서 이를 목격한 이는 고양이 ‘비단이’뿐이다.  주인 잃은 비단이를 집으로 데려온 소연은 그때부터 신비한 소녀를 보기 시작한다. 어린 시절의 충격을 극복하는 과정이라는 의사의 말에 희망을 가져보지만 계속해서 악몽에 시달리는 소연. 그로부터 며칠 뒤, 새 고양이를 입양 받아온 친구 ‘보희’가 죽은 채 발견되는데….  연속된 의문사모두의 죽음을 지켜본 유일한 두 눈 ‘고양이’‘소연’의 주변을 맴도는 죽음의 공포가 시작된다!"
14, 완벽한 파트너,https://www.kobis.or.kr/upload/up_img/2011/11/mov_J75CFA_20111116171951_1.jpg,['박헌수'],"선생과 제자 사이에 넘지 말아야 할 선을 훅 넘어버리다!  7년째 슬럼프에 빠져있는 유명 시나리오 작가 준석(김영호)과 국내 최고 요리 연구가 희숙(김혜선)! 주변 지인에게서 긴장감없고 영감 떨어지는 삶에 가장 필요한 것은 바로 ‘연애’라고 충고를 받은 뒤 가장 가까이에 있는 한참 연하의 제자에게 슬~쩍 들이댔는데, 훅~ 넘어오는 감사한 시추에이션이 발생한다! 드디어 ‘각각’ 전략적 연애를 시작하게 되고, 하면(!) 할수록 영감은 봇물 터지듯 떠오르게 된다. 대박 시나리오와 히트 요리 개발을 눈앞에 두고 창작 의욕 불태우기 위한 이 두 커플의 서로 속고 속이는 아슬아슬한 연애는 점점 대담하고 뜨거워지는데!  옆에 두고 남몰래 하는 아슬아슬 화끈한 연애!  당신도 갖고 있나요? 완벽한 S 파트너??"
15, 신이 보낸 사람,https://www.kobis.or.kr/common/mast/movie/2014/02/d07c1a25f7d74a22a07e950042692d3f.jpg,['김진무'],"“목숨도, 믿음도 살아남아야 지킬 수 있는 거요.” 지하교회 교인이었던 것이 발각돼 아내와 함께 수용소에 끌려갔던 철호(김인권 분).  자신의 목숨은 건졌지만 아내를 잃고, 혼자 살아남은 것에 대한 죄의식을 떨쳐 내지 못한다.  2년 만에 고향 땅으로 돌아온 철호는 죽은 아내와의 마지막 약속을 지키기 위해  마을의 북한지하교인들을 데리고 남조선으로의 탈북을 결심한다.  하지만 탈북을 준비하던 중 철호는 1급 정치범으로 고발당하게 되고,  자유를 찾아 탈북을 결심하게 된 교인들은 지하교회가 발각될까 두려움에 떨게 된다.  설상 가상으로 마을 사람들을 원조 해주던 중국 선교사와의 연락도 두절되면서  준비해오던 탈북 계획에 차질이 생기게 되는데 …     과연, 철호는 마을 사람들과 함께 자유를 찾아 탈북에 성공할 수 있을까?"
16, 조선안방 스캔들-칠거지악2,https://www.kobis.or.kr/common/mast/movie/2015/09/b826426a53ae40cd9788d7dca537b592.jpg,['이숭환']," 다섯번째 이야기  악질경환과 양순은 가난하지만 행복한 부부 였다.경환은 악착같이 돈을 모으려 없는 살림에 밥을 굶어가면서 부동산에 투자를 했다. 당장 굶어가면서 투자를 하는 경환이 마음에 들지 않은 양순은 경환을 말려보지만 듣지 않는다. 그러던 중 양순은 큰병을 얻게 되고 그 때 마침 경환의 부동산투자가 성공하여 큰 부자가 된다. 그런데 이때 은채를 길에서 만나 첩으로 들이는데 양순은 은채가 불만이다. 이윽고 은채가 임신을 하게되고 경환의 관심은 은채에게 모두 쏠리게 된다. 병 때문에 아픈 양순은 분을 참지 못하고 임신한 은채에게 상해를 입히는데.. 이로인해 경환과 양순은 이혼소송을 벌이게 된다.  여섯번째 이야기  구설윤호는 진중하지 못하고 말이 많은 아내 다은이 영 마음에 들지 않는다. 윤호에 형인 대식은 겉으로는 매우 점잖은 선비이나, 사실 하인인 방울과 바람을 피우고있다. 어느 날 다은이 대식에 불륜현장을 목격하게 되고 남편 윤호에게 말을 하게 된다. 윤호는 형수 정란에게 절대 말을 하지 말라하고 결국 참지 못한 다은은 정란에게 말을 하고만다. 남편 대식에 불륜사실을 알게 된 정란은 괴로워하다 자살을 하고 만다. 이로인해 대식이 술에 빠져 방탕한 생활을 하게 되고 윤호에 집안은 엉망이 된다. 윤호는 이를 다은에 탓으로 돌리고 다은은 이혼 소송을 제기하게 된다. 일곱번째 이야기  불순구고가난한 양반집 자식인 범수는 계속 과거에 낙방하고 있다. 어느날 가난해서 늙은 대감에게 팔려가던길에 도망쳐 울고있는 은심을 발견하고 집에 대려와 결혼을 한다. 하지만 범수의 어머니는 가난한 집의 딸인 은심이 영 마음에 들지 않는다. 그러던 중 범수에게 반한 부자 미망인 연실이 첩으로 들어오게 된다. 재물을 앞세워 옥부인의 환심을 사는데 성공한 연실은 은심을 핍박하고옥부인은 한 술 더떠서 은심을 핍박하는데 범수와 은심의 갈등은 깊어져만 가다가 결국 이혼소송을 벌이게 된다."
17, 글로리데이,https://www.kobis.or.kr/common/mast/movie/2016/02/973b42c722734f1d93ad0880437afdb2.jpg,['최정열'],"“그 날 우리의 스무 살은 잔뜩 구겨졌다.”이제 막 스무 살이 된 친구 용비, 상우, 지공, 두만은 입대하는 상우의 배웅을 위해 오랜만에 뭉쳐 여행을 떠난다. 친구가 전부이고 제일인 용비, 대학 대신 군대를 택한 상우, 엄마에게 시달리는 재수생 지공, 낙하산 대학 야구부 두만은 각자의 일상에서 벗어나 자유를 만끽한다. 포항의 한 바닷가.어른이 된 기분에 한껏 들떠 있던 것도 잠시, 우연히 위험에 처한 여자를 구하려다 시비에 휘말리게 되고 네 명은 순식간에 사건의 주범이 되어버린다. 무심한 경찰과 속 타는 부모들은 세상에는 친구보다 지킬 것이 많다고 말한다. “센 척 하지마! 너도 무섭잖아.”가장 아름답게 빛나던 하루는 속수무책 구겨져만 가고, 이들의 마음도 점차 무력하게 흔들리기 시작하는데…모든 어둠이 내리고 나면, 비로소 내일은 오는 걸까?"
