,name,poster_link,director,description
0, 델 플라야,https://www.kobis.or.kr/common/mast/movie/2018/04/5ebc247c5bd44712b13fb5d118d2f176.jpg,['션 하트'],할로윈 파티에서 벌어지는 광란의 연쇄 살인사건을 다룬 공포 영화
1, 픽시,https://www.kobis.or.kr/common/mast/movie/2018/07/4e5dd991846140af8afbe303172f04db.jpg,"['바시코 베도슈빌리', '이반 프숀킨', '안드레이 콜핀']","내가 누군지 궁금해?전자 제품 속에 사는 1센치 미니 히어로 ‘픽시’,‘픽시’의 정체를 아는 사람은 10살 소년 ‘톰 토마스’와 천재 ‘유지니어스’ 교수뿐이다.하지만 장난꾸러기 픽시 ‘파이어’가 ‘유지니어스’ 교수가 발명한 특수 팔찌를 차고도시 전체를 혼란에 빠뜨리는 바람에 ‘픽시’들의 정체가 들통날 위기가 찾아오는데…   1센치 미니 히어로 ‘픽시’를 만날 시간!"
2, 다이노 어드벤처 2: 육해공 공룡 대백과,https://www.kobis.or.kr/common/mast/movie/2018/08/44b1f52e1c4f434c8a0d56c3323f5838.jpg,['마이크 데빌린'],"예측불허! 위험천만! 흥미진진!리얼 3D로 탄생한 7천만년 전 육해공 공룡들이 눈 앞에 생생하게 펼쳐진다!BBC 제작의 검증된 퀄리티! 다이노 어드벤처의 마지막 대장정이 찾아온다!새끼만을 노리는 잔인한 포식자 스코르피오베나토르!육식동물에게서 살아 남기 위해 공생하는 스테고사우루스와 캄푸토사우루스!한반도에 거대한 발자국을 남긴 하늘과 땅의 훌륭한 사냥꾼 하체고프테릭스!새끼를 위해 못할 건 아무것도 없는 강한 모성애의 기간토랍토르! 이제껏 어디에서도 볼 수 없었던 육지와 바다, 하늘의 거대한 공룡들의 생존투쟁!올 가을,최상의 포식자가 눈을 뗄 수 없는 흥미진진한 이야기를 들고 찾아온다."
3, 완벽한 그녀의 비밀,https://www.kobis.or.kr/common/mast/movie/2018/12/4cfcce02ffe24c8f855ffb0fcb6d3c1b.jpg,['금패진'],아름다운 여대생 ‘예신’은 멋진 남자친구 ‘미아오’와 연애중이다.어느 날 폭우가 내린 뒤 예신의 집 정원에서 시체 2구가 발견되고그 중 하나가 실종된 미아오의 전 여자친구인 것으로 드러난다.알고 보니 과거에 미아오가 교제했던 여자친구들이모두 자살로 죽었다는 사실이 밝혀지면서완벽해 보이던 그녀의 삶에 균열이 생기기 시작하는데...너무나 사랑하는 애인의 전 여자친구들을 죽인 범인은 과연 누구일까?
4, 서유기: 철선녀의 파초선,,"['초나', '마운']",“대륙 최상의 영웅 손오공! 화염산의 불길을 잠재워라!”불경을 얻기 위해 서역기행을 떠난 손오공과 삼장법사 일행.하지만 험난한 수행길 중 불길이 거센 화염산을 마주하게 되어 영험한 능력을 지닌 파초선으로 잠재우려 하나 뜻대로 되지 않는다.이를 지켜본 관세음보살은 손오공에게 파초선의 주인인 철선녀의 진심 어린 눈물만이 파초선의 기운을 되살릴 수 있다고 하는데…
5, 챔피언 블리더,,['필리프 팔라도']," 그거 알아? 어제의 나는 아무도 신경 쓰지 않아 뉴저지 헤비웨이트 챔피언이자 일명 '블리더'로 불리는 척 웨프너는 고향 베이온에서 나름 활발히 활동하며 살아간다. 그러던 어느 날, 척에게 당대 최고의 복서 무하마드 알리와 맞붙을 기회가 찾아오고, 15라운드까지 접전을 벌여 일약 스타가 된다. 하지만 척이 끊임없이 허황된 꿈만 좇으며 사랑하는 가족과 점점 멀어지고, 방탕한 생활에 깊숙이 빠져 드는데..."
6, 클로즈 에너미,https://www.kobis.or.kr/common/mast/movie/2019/05/db777967cf00472c8889773a3a54a51c.jpg,['다비드 오엘호펜'],"엇갈린 운명, 비운의 살인 사건!적도 동료도 아닌 친구, 같은 덫에 걸리다!빈민가 출신으로 마약 단속반 형사가 된 드리스는 어릴 적 같은 동네에서 지냈지만 지금은 범죄 조직에 가담해있는 임마한느와 내통해 조직을 일망타진하려 한다. 그러던 중 임마한느가 살해당하고, 현장에 함께 있던 마누엘은 용의자로 지목된다. 범죄 소탕과 복수라는, 서로 다른 이유로 같은 목표를 가지게 된 마누엘과 드리스는 진짜 살인범을 잡기 위해 손을 잡지만, 마누엘마저 표적이 되어 목숨의 위협을 받게 되는데……"
7, 룩 어웨이,https://www.kobis.or.kr/common/mast/movie/2019/07/a8e4e7a0fd4d4de899ae5baedd75b20f.jpg,['아사프 베른슈타인'],"아름다움에 대한 집착이 사악한 본능을 깨운다!성형외과 의사인 아빠와 항상 다정다감한 엄마, 그리고 부유한 저택까지 모든 걸 다 가진 듯한 아름다운 소녀 ‘마리아’는 사실 학교에서 심한 따돌림을 당하는 소녀다.항상 완벽한 외모를 강요하는 아빠의 강압 때문에 내성적인 성격을 가지게 된 ‘마리아’는 어느 순간 거울 속에서 자신과 똑같이 생긴 ‘애럼’을 마주하게 된다. ‘애럼’과의 대화를 통해 점점 자신감을 얻은 ‘마리아’는 학교 졸업 무도회에 참가하지만 전교생들 앞에서 끔찍한 일을 당하게 되고,이 사건으로 큰 충격을 받은 ‘마리아’에게 거울 속 ‘애럼’은 자신과 몸을 바꿔준다면 원하는 모든 것을 얻게 해주겠다며 위험한 거래를 제안하는데…"
8, 캣츠,https://www.kobis.or.kr/common/mast/movie/2019/12/94e81dfa756244ab97dcb6a220c19592.jpg,['톰 후퍼'],"오늘밤, 운명을 바꿀 마법 같은 기회가 찾아온다!1년에 단 하루, 새로운 삶을 살 수 있는 고양이를 선택하는 운명의 밤.기적 같은 기회를 잡기 위한 축제가 점점 무르익는 동안 뜻하지 않은 위기가 찾아오는데…"
9, 여대생 기숙사에서 생긴 일,https://www.kobis.or.kr/common/mast/movie/2019/08/25df916b0f134520942474841dcd949e.jpg,['매티 벡커맨'],"어렸을 적 엄마를 잃고 아빠와 단둘이 살아가는 라일리.어느덧 성인이 된 라일리는 엄마를 그리워하며 그녀가 다녔던 대학에 입학한다.친구들과 행복한 시간을 보내는 것도 잠시, 여대생들만 죽이는 연쇄 살인 사건이 라일리의 학교에서 발생하는데..."
