,name,poster_link,director,description
0, 하이크,https://www.kobis.or.kr/common/mast/movie/2012/11/82a3484af66a4894b0fb7ab20b436d45.JPG,['루퍼트 브라이언'],"군에서 남자친구를 잃고 제대한 친구 케이트를 위해 찰리, 리앤, 엘리, 토리는 산으로 하이킹 여행을 떠나기로 한다.  다음날 아침 산으로 하이킹을 떠나는 친구들은 산 입구에 차를 두고 걸어서 산을 오르며 즐거운 한때를 보내고 있는데… 그때 마침 또 다른 남자들도 산에서 하이킹을 즐기고 있었다. 우연히 케이트 일행과 마주친 낮선 남자들… 그들은 케이트 일행과 동행을 하며 하이킹을 즐기게 된다.  산에서 괜찮은 남자들까지 만나자 더욱 신이 난 친구들은 낮 선 남자들과 오늘 하루 캠핑을 즐기기로 하고 첫 날 밤을 보낼 준비를 하는데…  즐거운 주말을 보내려던 이들의 여행은 끔찍한 악몽으로 변해버린다."
1, 차이니즈 조디악,,['성룡'],"전설의 보물을 찾기 위해 전설들이 모였다!! 국보급 보물을 도난 당한지 150여 년이 흐른 현재, 전세계 경매장에서 고액으로 거래되는 12개의 청동상의 행방을 추적하기 위해 세계 최고의 모험가이자 보물 사냥꾼 JC(성룡)와 그의 파트너 사이먼(권상우)가 고용된다. 이들은 아직도 행방이 묘연한 12지신의 청동상 중 나머지 6개의 청동상을 찾기 위해 전세계를 무대로 모험을 시작하는데..."
2, 지.지.지,https://www.kobis.or.kr/common/mast/movie/2013/07/dae42663105d4220b945d27a0773a835.jpg,['마이클 위닉'],"사막 한가운데에 있는 원주민 카지노에서 도박 중이던 '존 스미스(크리스찬 슬레이터)'. '존 스미스'가 도박을 즐기던 그 시간, 공교롭게도 카지노의 주인이 아끼던 '아파치 부족 가면'이 사라지게 되고 '존 스미스'는 범인으로 의심을 받게 된다. 카지노 주인에게서 24시간 이내에 '아파치 부족 가면'을 가져오지 않으면 죽이겠다고 위협을 받는 '존 스미스'... 카지노 주인은 '아파치 부족 가면'을 찾아오는 이에게 현상금 100만 달러를 줄 것을 약속하고 이로 인해 '엘비스(게리 올드만)'를 포함해 함께 도박을 하던 이들까지 용의선상에 떠오르게 되면서 하나 둘 누군가에게 죽임을 당하기 시작하는데…"
3, 진구세주전설 북두의권 Zero-켄시로전,https://www.kobis.or.kr/common/mast/movie/2013/09/02c4dca856184d35844cf1a6758a8f73.JPG,['히라노 토시키'],모든 결전이 끝나고 켄시로는 유리아와 함께 둘만의 결혼식을 올리며 과거를 추억한다.과거 신과의 결투에서 패하고 연인 유리아마저 빼앗긴 채 방황하던 켄시로.. 그가 끌려간 노예시장에서는 수질정화시설의 열쇠를 독점하여 폭정을 휘두르는 마을이었다.켄시로는 자신이 폐한 신의 스승을 우연히 만나게 되고 이 마을을 구하기로 한다.이 때 알 수 없는 적들이 마을을 습격해 오는데…과연 켄시로는 북두의권의 유일한 후계자로서 자아를 각성하고 이 곳을 구할 수 있을 것인가..
4, 굿모닝 맨하탄,https://www.kobis.or.kr/common/mast/movie/2014/02/353951e7eef2477c9b9e7f23857dd6e0.jpg,['가우리 신드']," 영어? 엄마도 할 수 있어! 인도에서는 돈과 명성 그리고 영어실력이 사람을 판단하는 기준이 되곤 한다.외모부터 요리실력까지 흠잡을 데 없이 완벽한 가정주부 샤시는 영어를 못한다는 이유 하나로 가족들에게 크고 작은 무시를 받으며 조금씩 소외감을 느낀다.그러던 어느 날, 뉴욕에 사는 조카의 결혼 준비를 돕기 위해 나 홀로 미국으로 떠나게 된 샤시는용기를 내어 가족들 아무도 모르게 영어학원을 찾아 간다.그녀를 이해해주는 친구들과의 즐거운 영어수업은 영어울렁증 극복은 물론엄마도 아내도 아닌 자기 자신을 위한 소중한 시간이 되는데…영어 마스터를 코 앞에 둔 종강 1주일 전, 예정보다 일찍 가족들이 뉴욕에 들이닥치고 샤시는 가족들 몰래 학원 가기가 만만치 않다.과연 샤시는 누구에게도 들키지 않고 무사히 영어 수업을 마칠 수 있을까?"
5, 소울리스,https://www.kobis.or.kr/common/mast/movie/2014/03/97a79314fada4ee5a87e8242421d54db.JPG,['로만 프리구노프'],"보육원에서 어린 시절을 보낸 '맥스'는 젊은 나이에 자수성가하여 프랑스계 금융 회사에서 소위 잘 나가는 이사 자리에까지 오르게 된다. 돈, 명예를 손에 쥐고 여자와 술, 마약을 취하며 호화롭고 방탕한 생활을 보내던 '맥스'. 성공을 등에 업고 힘있는 유명 인사들만 참석할 수 있는 사교 모임에까지 드나들 정도로 상류계열 문턱까지 다다르지만 우연히 만나게 된 '율리아'를 통해 자신이 지금껏 물질적 성공만을 위해 살아온 삶에 회의와 환멸감을 느끼게 된다.이 때, 상사는 군 훈련 캠프 토지를 매입하여 '백만장자의 천국'이라는 고급 저택 투자를 제안 해오고, 잘못된 정보로 기업에 막대한 손해를 입힌 '맥스'는 해고를 당하게 되는데....."
6, 알파: 바로셀로나 마피아,,['조안 쿠트리나'],"알파'는 세 친구들에 대한 이야기이다. 3명의 주인공은 어린 시절 함께 강도질을 하다가 한 친구가 잡혀 감옥에 들어가면서 각자 다른 삶을 살게 된다. 8년의 시간이 흐른 후 세 친구들은 다시 만나지만, 상황이 많이 변해 있다. 에릭은 감옥에서 출소하여 올바른 삶을 살기로 마음먹고, 토니는 청렴한 경찰이 돼 있다. 그리고 톰은 범죄 조직의 보스로, 현재는 부패한 비리 경찰과 손을 잡고 일을 하고 있다. 각자 완전히 다른 삶을 선택한 세 사람은 더 이상 함께 어울릴 일은 없어 보인다."
7, 노아,,['대런 아로노프스키'],"신께서 인간의 죄악을 보고 한탄하사, ‘내가 그들을 땅과 함께 멸하리라’ 하시니라.(성경 창세기 인용) 타락한 인간 세상에서 신의 계시를 받은 유일한 인물 ‘노아’(러셀 크로우).  그는 대홍수로부터 세상을 구할 있는 거대한 방주를 짓기 시작한다.  방주에 탈 수 있는 이는 생명이 있는 모든 존재의 암수 한 쌍과 노아의 가족들 뿐.  하지만 세상 사람들은 ‘노아’의 방주를 조롱하기 시작하고  가족들간의 의견 대립마저 생겨나는데..  세상을 집어삼킬 대홍수의 시작!  가족과 새로운 세상을 지켜내기 위한 ‘노아’의 드라마틱한 삶이 펼쳐진다!"
8, 구화영웅,https://www.kobis.or.kr/common/mast/movie/2014/07/57f5e7488bb74b6184f88b77dc544cbc.jpg,['곽자건'],"홍콩을 삼킬 거대한 화염을 잠재우기 위한 전쟁이 시작된다.성탄절, 모두들 기쁜 마음으로 휴일을 보낼 생각에 들떠있는 가운데 주조장에서 시작해 홍콩 전체를 위기로 몰아넣는 대형화재가 발생하여 사람들을 순식간에 공포로 몰아넣는다. 안전보다 이익과 체면을 중시했던 발전소장의 무책임한 결정 때문에 생각지 못한 사고가 연이어 터지게 되고... 롱구탄 소방대원들은 섭씨 1000도의 화염에 맞서 목숨을 건 전쟁을 시작한다."
9, 헨젤과 그레텔 2014,https://www.kobis.or.kr/common/mast/movie/2014/09/dcfc52730f8c44cd8977b3186cf60dbd.jpg,['안소니 C. 페란트'],"그레텔은 친절한 아줌마 릴리스가 운영하는 맛있는 고기 파이로 유명한 빵집에서 일하는 직원이다. 어느 날 남동생 헨젤이 아버지의 재혼 문제로 싸운 후 숲 속으로 가서 돌아오지 않자 그레텔은 밤늦게 동생을 찾아 나선다. 숲 속에서 덫에 걸려 다리를 심하게 다친 동생을 발견한 그레텔은 근처 오두막으로 급히 데려가는데 놀랍게도 그 집의 주인은 그레텔이 일하는 빵집의 주인, 릴리스였다. 달콤하고 맛있는 간식을 내오는 릴리스의 숨겨진 끔찍한 얼굴. 그곳 지하엔 고기로 요리하기 위한 인간들이 갇혀 있었던 것이다. 헨젤과 그레텔은 잔인한 식인 살인마의 집에서 탈출할 수 있을 것인가..."
