,name,poster_link,director,description
0, 파크,,['세타 나쓰키'],"들리니?아름다운 공원에서 시작될 우리들의 노랫소리가…이노카시라 공원 옆에 사는 대학생 쥰에게 어느날 정체를 알 수 없는 여고생 하루가 찾아온다. 돌아가신 아빠에 대한 소설을 쓰려던 하루는 아빠의 옛 애인 사치코의 편지를 읽고, 50년 전 사진과 주소에 의지해 쥰이 살고 있는 집으로 오게 된 것. 아빠의 옛 연인을 찾아 나선 하루와 쥰은 사치코의 손자 토키오와 만나게 되지만 그녀는 얼마 전 세상을 뜬 상태였다. 그리고 얼마 후 토키오는 할머니의 유품에서 미완성 노래가 담긴 릴 테이프를 발견하게 되고 세 사람은 밴드를 결성해 뮤직 페스티벌에 참가 하려고 하는데……"
1, 원더,,['스티븐 크보스키']," 넌 못생기지 않았어, 네게 관심있는 사람은 알게 될 거야 헬멧 속에 숨었던 아이 '어기', 세상 밖으로 나오다!누구보다 위트 있고 호기심 많은 매력 부자 '어기'(제이콥 트렘블레이).하지만 남들과 다른 외모로 태어난 '어기'는 모두가 좋아하는 크리스마스 대신 얼굴을 감출 수 있는 할로윈을 더 좋아한다.10살이 된 아들에게 더 큰 세상을 보여주고 싶었던 엄마 '이사벨'(줄리아 로버츠)과 아빠 '네이트'(오웬 윌슨)는 '어기'를 학교에 보낼 준비를 하고, 동생에게 모든 것을 양보해왔지만 누구보다 그를 사랑하는 '비아'도 '어기'의 첫걸음을 응원해준다.그렇게 가족이 세상의 전부였던 '어기'는 처음으로 헬멧을 벗고 낯선 세상에 용감하게 첫발을 내딛지만 첫날부터 '남다른 외모'로 화제의 주인공이 되고, 사람들의 시선에 큰 상처를 받는다.그러나 '어기'는 27번의 성형(?)수술을 견뎌낸 긍정적인 성격으로 다시 한번 용기를 내고, 주변 사람들도 하나둘 변하기 시작하는데..."
2, 음란모녀의 성욕 이발소,,['카와사키 군지'],"카바레 호스티스 출신인 엄마 밑에서 자란 키리코는 아버지가 죽고 난 후 아버지의 가업을 이어받아 2대째 이발소를 운영하고 있다. 하지만 놀기 좋아하는 엄마 토요코는 이발소 일은커녕 밖으로 나가기 바쁘며, 급기야 한참 영업 중에 남자를 데려와 큰 소리로 사랑을 나누기까지 한다. 그런데 키리코 또한 토요코의 그런 음란한 피를 물려받았는지 손님이 없을 때 종종 몰래 이발소 도구로 자위를 하곤 한다. 하지만 그만 이 모습을 엄마의 남자인 옆집 아저씨에게 들키고 말아버리는데…"
3, 정사:형수와 도련님,,['S.세타니'],"연대보증을 섰다 큰 빚을 떠안게 된 남편은 충격으로 쓰러지고, 빚독촉에 시달리던 그녀. 결국 돈을 벌기위해 마사지 업소에 취업을 하게 되고, 겨우겨우 갚아나가던 어느 날, 성인잡지를 보던 도련님의 눈에 들어온 한 광고사진. 형수님과 어쩐지 닮아보여 직접 찾아가는데, 손님으로 찾아온 도련님은 비밀을 조건으로 형수에게 질펀한 서비스를 요구한다."
4, 피터 래빗,https://www.kobis.or.kr/common/mast/movie/2018/05/858483aa82174681810ad40d8065a498.jpg,['윌 글럭'],"악동토끼 ‘피터 래빗’ VS 깔끔쟁이 ‘토마스’ 이것은 전쟁이다! 영국의 한적한 시골마을에서 마음씨 고운 화가 ‘비’의 사랑을 듬뿍 받으며 행복하게 살고 있던 ‘피터 래빗’과 친구들 그러던 어느 날! 런던에서 온 깔끔쟁이 ‘토마스’가 ‘피터 래빗’이 가장 좋아하는 당근밭 출입을 막아버린다. “이대로 물러 날 순 없다!” ‘피터 래빗’과 친구들은 당근밭에 다시 들어가기 위한 작전을 짜고, ‘토마스’는 토끼들과 평화롭게 지내고 싶어하는 ‘비’의 눈치를 보며 몰래 토끼들을 물리칠 계획을 세우는데…"
5, 이탈리안 레이스,https://www.kobis.or.kr/common/mast/movie/2018/08/aba357f0524948079b8aa95dce5c4964.jpg,['마테오 로브레'],우리의 질주는 결코 멈추지 않는다!F1 경기를 치르고 있는 17세 소녀 드라이버 줄리아. 감독인 그녀의 아버지가 경기 직후 가슴 통증을 호소하다 급작스럽게 죽음을 맞이한다. 그리고 장례식장에 모인 줄리아와 그의 어린 남동생 앞에 망나니처럼 보이는 낯선 친 오빠가 등장하면서 더욱 위기에 빠지고 사설 레이싱 게임인 “이탈리안 레이스”에 참가하게 되는데…… 포기 할 줄 모르는 두 남매의 질주가 시작된다!
6, 데드 위크: 인생마감 7일전,https://www.kobis.or.kr/common/mast/movie/2019/09/2c06acbfd42149b4bc6fe1be96dd2756.jpg,['톰 에드먼즈'],"명예로운 자살을 꿈꾸는 청년, 그의 소원 성취를 위해 청부 살인업자가 나섰다?!7번 째 자살 시도에 실패한 20대 청년 ‘윌리엄’(아뉴린 바나드). 그는 급기야 은퇴가 바로 코앞인 청부 살인업자 ‘레슬리’(톰 윌킨슨)을 고용하기에 이른다. 윌리엄과 레슬리 간의 계약이 체결되고, 이제 일주일 안에 죽는다는 것이 확실해진 윌리엄은 마침내 자신이 살아야 할 이유를 깨닫기 시작하는데…  지금은 살고 싶은데 계약 취소도 되나요? "
7, 킬링,https://www.kobis.or.kr/common/mast/movie/2022/01/cc8a058033b04206b5d2cfdad8d738a6.jpg,['쓰카모토 신야'],"일본 에도 시대, 주인이 없는 사무라이 모쿠노신은 농부의 아들과 대련하며 검술을 연마한다. 평화로운 시기처럼 보이지만 미군의 배는 해안가에 정박 중이고, 파란 눈의 외국인 사령관은 무역 협상을 위해 에도막부를 찾는다. 농부의 딸 유는 모쿠노신이 동생과 검술을 연마하는 것이 내키지 않지만, 자신도 모르게 모쿠노신에게 마음이 끌린다. 유는 흠모하는 모쿠노신이 징집될까 노심초사한다. 하지만 로닌 사와무라가 무사가 될만한 인재를 찾아 그들의 마을을 찾아오고 뒤이어 무법자 패거리가 마을 언저리에 자리 잡으면서, 모쿠노신은 전쟁에 휘말리고 그들의 삶은 영원히 바뀐다."
8, 킬 스위치,https://www.kobis.or.kr/common/mast/movie/2020/06/5cd674fbc5b74f0a91298c7b6880df0f.jpg,['팀 스밋'],"가까운 미래, 거대 에너지 기업 ‘알터플렉스’는 생명체가 존재하지 않는 지구 ‘에코’를 복제, ‘에코’의 자원을 지구로 조달하려는 계획을 세운다.하지만 계획과 달리 ‘에코’에는 사람들까지 모두 복제되고, 급기야 두 세계는 서로의 질서를 무너뜨리며 공멸의 위기에 처한다.유일하게 지구와 ‘에코’를 오갈 수 있는 물리학자 ‘윌’은 인류를 구할 최후의 생존 버튼 ‘킬 스위치’를 가지고 ‘에코’로 향하는데…무너지는 두 세계, 막지 못하면 미래는 없다!"
9, 런 위드 더 헌티드,https://www.kobis.or.kr/common/mast/movie/2020/10/53f5f9fb7d23403bb186af353e8f6a82.jpg,['존 스왑'],"13살 오스카는 친구 루가 아버지에게 성적 학대를 당하고 있다는 사실을 알고는 루의 아버지를 살해한 뒤 도망친다. 거리에서 만난 피치스는 오스카를 자신이 사는 곳으로 데려가고, 오스카는 스웨이 밑에서 범죄를 배운다. 15년 후, 오스카는 오갈 데 없는 아이들에게 범죄를 가르치며 살아가고 있다. 버디는 피치스와 오스카를 조종해 서로를 감시하게 만든다. 한편 루는 동생 에이머스와 함께 꽤 오랫동안 오스카를 찾고 있었다. 루는 사설 탐정 사무소에서 오스카에 대한 단서를 찾아 마침내 그가 살고 있는 곳을 알아내는데…"
