,name,poster_link,director,description
0, 커튼콜,https://www.kobis.or.kr/common/mast/movie/2016/11/56ed5bc14f2c42168e5a6da1cc1f7be6.jpg,['류훈'],"경제적인 불황으로 문닫기 일보 직전의 위기에 놓인 삼류 에로 극단 ‘민기’의 마지막 무대를 앞두고 연출자 ‘민기’(현성)는 늘 꿈에 그리던 연극 [햄릿]을 무대에 올리기로 결심하고 프로듀서인 ‘철구’(박철민)를 설득한다. 우여곡절 끝에 연극 무대의 막이 오르고, 예기치 않은 실수와 애드립이 난무하는 가운데 무대의 열기는 점점 끓어 오르는데! 과연 삼류 에로 극단이 도전한 [햄릿]은 무사히 커튼콜을 올릴 수 있을까?!"
1, 장사리: 잊혀진 영웅들,https://www.kobis.or.kr/common/mast/movie/2019/08/6bcce17a3b35498680a0f96248abb125.jpg,"['곽경택', '김태훈']","인천상륙작전 D-1‘이명준’ 대위가 이끄는 유격대와 전투 경험이 없는 학도병들을 태운 문산호는 인천상륙작전의 양동작전인 장사상륙작전을 위해 장사리로 향한다.평균나이 17세, 훈련기간 단 2주에 불과했던 772명 학도병들이 악천후 속에서 소나기처럼 쏟아지는 총알을 맞으며 상륙을 시도하는데…"
2, 선희와 슬기,https://www.kobis.or.kr/common/mast/movie/2019/03/a348ce3ced464c0ba2fb4c43ab3cf35a.jpg,['박영주'],"“제 이름은 선희입니다. 18살 ‘선희’는 친구들의 관심을 끌기 위해 거짓말을 시작한다.그러나 작은 거짓말은 친구의 자살을 부르게 되고, ‘선희’는 커다란 죄책감을 느끼게 되는데...“제 이름은 슬기입니다.”아무도 자신을 모르는 곳으로 떠난 ‘선희’는 모범생 ‘슬기’로 새로운 인생을 살기로 하는데…"
3, 하트어택,https://www.kobis.or.kr/common/mast/movie/2020/09/a0741ce4a5824ce4977b37af60ecbdc0.jpg,['이충현'],사랑의 힘으로 남자의 심장을 다시 뛰게 만드는 여자의 능력을 담은 단편영화
4, 기적,https://www.kobis.or.kr/common/mast/movie/2022/08/dbf855a390cc4692823f9e746bf1f18c.jpg,['이장훈'],"오갈 수 있는 길은 기찻길밖에 없지만 정작 기차역은 없는 마을.오늘부로 청와대에 딱 54번째 편지를 보낸 ‘준경’(박정민)의 목표는 단 하나! 바로 마을에 기차역이 생기는 것이다. 기차역은 어림없다는 원칙주의 기관사 아버지 ‘태윤’(이성민)의 반대에도 누나 ‘보경’(이수경)과 마을에 남는 걸 고집하며 왕복 5시간 통학길을 오가는 ‘준경’. 그의 엉뚱함 속 비범함을 단번에 알아본 자칭 뮤즈 ‘라희’(임윤아)와 함께 설득력 있는 편지쓰기를 위한 맞춤법 수업, 유명세를 얻기 위한 장학퀴즈 테스트, 대통령배 수학경시대회 응시까지!오로지 기차역을 짓기 위한 ‘준경’만의 노력은 계속되는데...! 포기란 없다기차가 서는 그날까지!"
5, 스파이형 모델,https://www.kobis.or.kr/common/mast/movie/2022/06/0b275fd7fca846108918d0a37aa70a4e.jpg,['김영일'],"취업준비생 형우는 우연히 어떤 남자의 지갑을 찾아준다. 그런데 이 남자 이상하다.병약해 보이는 얼굴은 피투성이고, 지갑엔 엔화가 들어있다.다음날 형우가 또 발견했을 때, 건달 두 명이 이 남자를 쫓아 으슥한 곳으로 들어간다.잠시 후 다가가 보니 건달들은 피투성이가 돼서 쓰러져 있고, 의문의 남자는 흔적도 없이 사라졌다.결국 형우는 그 남자를 찾으러 가고, 상상조차 못한 세계로 한발짝씩 들어간다."
6, 2AM SHOW,https://www.kobis.or.kr/upload/up_img/2011/01/mov_5CJC9H_20110111171818_1.jpg,['정성복'],"즐길 준비 되었는가! 2AM의 모든 것, 그들이 펼치는 가장 특별하고 매력적인 무대  2AM SHOW ! 서로 다른 공간에서 살지만 '음악'이라는 같은 꿈을 가지고 있던 4명의 소년들, 운명적으로 JYP에서 만나게 되고 마침내 새벽의 감성을 담은 2AM으로 데뷔, 한 목소리로 노래를 부르기 시작한다.  소년에서 이제 감성돌로 변신해 짜릿하고 생생한 콘서트 실황과 단 한번도 공개된 적 없는 버라이어티한 특별 영상과 토크 등을 통해 가장 매력적인 콘서트 무대를 펼치게 되는 2AM! 특별 콘서트 실황과 함께 그들의 과거, 현재 그리고 그들이 꿈꾸는 미래에 대한 스토리가  2AM SHOW 에서 펼쳐진다."
7, 밀양 아리랑,,['박배일'],"우리 밭 옆에 765가 뭔가 송전탑을 세운다케서 농사도 내팽겨치고 지난 3년 동안 이리저리 바쁘게 다녔어예. 그거 들어오면 평생 일궈온 땅 잃고, 나도 모르게 병이 온다카데예. 동네 어르신들이랑 합심해가 정말 열심히 싸웠는데 작년 10월에 3천명이 넘는 경찰들이 처들어와가 우리 마을을 전쟁터로 만들어 놨었습니더. 산길, 농로길 다 막고 즈그 세상인냥 헤집고 다니는데 속에 울화병이 다 왔어예. 발악을 해봐도 저놈의 철탑 막을 길이 없네예. 아이고 할말이 참 많은데 한번 들어보실랍니꺼."
8," 님아, 그 강을 건너지 마오",https://www.kobis.or.kr/common/mast/movie/2014/11/90ef48778a6445a5b9b5bf566ee81d3d.jpg,['진모영'],"우리는 76년째 연인입니다.조그만 강이 흐르는 강원도 횡성의 아담한 마을89세 소녀감성 강계열 할머니, 98세 로맨티스트 조병만 할아버지이들은 어딜 가든 고운 빛깔의 커플 한복을 입고 두 손을 꼭 잡고 걷는 노부부이다.봄에는 꽃을 꺾어 서로의 머리에 꽂아주고, 여름엔 개울가에서 물장구를 치고,가을엔 낙엽을 던지며 장난을 치고, 겨울에는 눈싸움을 하는 매일이 신혼 같은 백발의 노부부.장성한 자녀들은 모두 도시로 떠나고 서로를 의지하며 살던 어느 날,할아버지가 귀여워하던 강아지 '꼬마'가 갑자기 세상을 떠난다.꼬마를 묻고 함께 집으로 돌아온 이후부터 할아버지의 기력은 점점 약해져 가는데…비가 내리는 마당, 점점 더 잦아지는 할아버지의 기침소리를 듣던 할머니는 친구를 잃고 홀로 남은 강아지를 바라보며 머지 않아 다가올 또 다른 이별을 준비한다."
9, 바이크 원정대: 인 이탈리아,https://www.kobis.or.kr/common/mast/movie/2021/01/d0c70dfd304c485b91f4431b557178f1.jpg,['달'],"꿈꿔오던 여행지, 일상을 떠나 달려볼까~?바이크를 타고 떠나는 이탈리아 남부 여행기를 담은 리얼 버라이어티 무비.이탈리아 남부 살레르노를 중심으로 바이커들의 로망! 이탈리아를 달린다!해외여행에 대한 설렘과 천혜의 자연을 배경으로 즐기는 바이크 레이스, 발길 닿는 곳곳의 여행지, 식도락 그리고 음악.이곳이 천국일까?‘바이크’로 떠나는 일상탈피 힐링 투어 프로젝트, 함께 떠나보자~!"
10, 장미의 기사,https://www.kobis.or.kr/upload/up_img/cleansing/18/mov_20100118_3.jpg,['바바라 윌리스 스위츠'],젊은 귀족 옥타비안은 공작부인의 애인이었지만 공작 부인의 사촌 오크스 남작의 약혼녀인 소피에게 장미를 건네주게 되면서 첫눈에 반해 사랑에 빠지게 되는 이야기로 뉴욕 메트로 폴리탄 오페라단의 공연 실황
11, 쿠엔틴 타란티노 8,https://www.kobis.or.kr/common/mast/movie/2019/10/1d61b9070fbc40cd99d844c12b30eb1e.jpg,['타라 우드'],예술적 쿠데타  저수지의 개들 부터 타란티노 스타일의 정점  헤이트풀8 까지 유혈낭자 폭력으로 뒤섞인 B급 무비의 최정상 영화광 쿠엔틴 타란티노.이 작품은 지금 이 시대 가장 위험한 감독인 그를 향한 집요한 시선이다.
12, 백년의 기억,https://www.kobis.or.kr/common/mast/movie/2020/06/49f9b9d45f384585afa1d3966898d67c.jpg,['피에르 올리비에 프랑수아'],"1948년 이후 한국은 전혀 다른 두 개의 국가로 분단되었다.각각 미국과 소련의 지원하에 적대적인 두 정권이 탄생하였고, 1950년의 남북간의 전쟁은 이제 핵전쟁으로 악화되어가고 있는 상황에 놓여 있다. 반대의 입장에 선 두 나라는 얼마나 닮아갈 수 있을까? 영화는 이러한 질문을 가지고 남과 북 두 나라를 바라본다."
13, 볼쇼이 발레 인 시네마 주얼스,,['조지 발란신'],"파리의 우아함과 세련미를 표현한 ‘에메랄드’뉴욕의 빠르고 현대적인 문화를 상징하는 ‘루비’러시아 상트페테르부르크의 클래식 발레를 표현한 ‘다이아몬드’에메랄드, 루비, 다이아몬드 세 가지 반짝이는 보석을 각기 다른 음악과 분위기, 의상, 춤으로 표현한 3막으로 이뤄진 발레계의 블록버스터인 이 작품은 현대 발레의 거장 ‘조지 발란신’을 발레의 전설로 만드는 데 기여한 3개 무용학교의 스타일을 특징적으로 보여준다."
14, 동방불패,https://www.kobis.or.kr/common/mast/movie/2013/12/c040cddaa11f4fd8b67aeb884e8f332e.png,"['정소동', '당계례']",사부의 위선에 실망한 수제자 영호충은 추동자들과 유랑길에 오르며 일원신교의 무사 임영영을 만나 회포를 풀기로 하지만 약속장소는 누군가의 습격으로 아수라장이 된다. 혼란에 휩싸인 그는 향문청으로부터 동방불패의 술책을 듣게 되고 도음을 요청한다. 자객의 습격에서 동방불패를 구해준 영호충은 그의 정체를 모른 채 사랑에 빠지고 마침내 계략에 빠져 동방불패의 애첩을 그로 착각하고 사랑을 나눈다. 그리고 동방불패의 정체를 훔쳐보게 된 임영영의 심복 남봉황은 동방불패에 쫓기게 되고 동방불패는 부하들을 이끌고 임아행이 있는 주막으로 쳐들어가는데...
15, 하나 그리고 둘,https://www.kobis.or.kr/common/mast/movie/2018/05/1ae6e2541d854667ad0f5c160a3d7b71.jpg,['에드워드 양'],"NJ의 처남 아제의 결혼식. 아제는 여자 친구가 임신하는 바람에 식을 올리고, 식장엔 그의 또 다른 여자가 찾아옴으로써 어색한 기운이 감돈다. 이 일로 심기가 불편한 할머니를 집에 모셔다 드리고 다른 가족들은 모두 피로연장으로 향한다. 그리고 NJ는 그곳에서 30년만에 첫 사랑 셰리와 우연히 재회한다. 그녀는 NJ를 원망하고, NJ는 혼란스럽다. 할머니는 손녀 틴틴이 버리지 않은 쓰레기를 버리러 나갔다가 그만 쓰러져 의식 불명이 된다. NJ의 아내 밍밍은 집안 살림과 회사 일에 지쳐 요양소로 들어가고, NJ의 회사에는 위기가 닥친다. NJ는 경영난 타계를 위해 일본으로 출장을 가고, 그곳에서 셰리와 다시 만난다. 그 사이 틴틴은 이웃집 친구 리리가 차버린 남자 친구 패티에게 처음으로 사랑을 느끼게 된다. 딸의 데이트 장면은 일본에서 NJ와 셰리가 그들의 첫 데이트를 회상하는 대화들과 교차된다. NJ의 아들 양양은 학교 생활에 적응하지 못하는데... 셰리는 NJ에게 다시 시작할 것을 제안하지만 NJ는 거절한다. NJ는 사업차 만나 인간적인 믿음을 얻은 일본인 오탕와의 사업 결렬로 좌절을 겪는다. 한편, 리리에게 돌아가 버린 패티 때문에 괴로워하던 틴틴은 어느 날 경찰의 호출을 받는다. NJ는 출장을 마치고 집으로 돌아오고 밍밍도 돌아온다. 남들 모르게 각기 한 차례 씩 거센 풍랑을 겪은 모두는 할머니의 장례식에 다시 함께 모이고 양양은 할머니의 영정 앞에서 처음이자, 마지막으로 자신의 이야기를 한다. 할머니! 난 모르는게 너무 많아요. 커서 뭘 하고 싶은 줄 아세요? 남이 모르는 일을 알려주고, 못 보는 것을 보여주고 싶어요. 그럼 날마다 재밌을 거예요. 할머니가 늘 늙었다고 한 말이 생각나요. 저도 늙어간다고 말하고 싶어요..."
