exhibition_id,name,poster_link,start_period,end_period
20160101000047,개화(開花)_피어나다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660262917477.jpg,2022-08-10,2022-08-15
20160101000048,마을교육 공동체 전시- 우리 동네 하천 이야기,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659486398453.jpg,2022-08-09,2022-08-18
20160101000049,"정운자, 물로 쓴 시",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659486012771.jpg,2022-08-09,2022-08-18
20160101000050,Multi Complex Culture Co. Owell Pop-up Store & Exhibition,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659658382530.jpg,2022-08-05,2022-08-09
20160101000051,[소마미술관] 드로잉 박스 2022,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659059568437.png,2022-08-05,2022-08-21
20160101000052,번아웃증후군,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1658190246546.jpg,2022-08-04,2022-08-10
20160101000053,( )t part2,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659572159495.jpg,2022-08-03,2022-08-08
20160101000054,두산 큐레이터 워크샵 기획전 《칼립소 Καλυψ》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659319505110.jpg,2022-08-03,2022-08-31
20160101000055,[신진미술인 전시지원 프로그램] 김신애 개인전 《로맨틱 스토리지》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220728101653_6edc18ae36754eddbe081cc3b3ddc9ea_1d16ce68cf984172911746bdac05ce93,2022-08-03,2022-08-03
20160101000056,[신진미술인 전시지원 프로그램] 김정인 개인전 《이미지 연대》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220727103417_9513b8a2856147509c9522316d9f428d_65bc3f3a7fb44416bbdb9f769b1778d3,2022-08-03,2022-08-03
