title,link,author,pubDate,description,isbn,priceSales,priceStandard,mallType,cover,categoryId,categoryName,publisher,customerReviewRank,bestRank
휴먼스 - 너무나도 그리운 지구의 친구들,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298205350&partner=openAPI&start=api,"브랜던 스탠턴 (지은이), 안민재 (옮긴이)",2022-07-25,"세계 보통 사람들의 영롱한 삶의 이야기들. 뉴욕타임스 논픽션 베스트셀러 1위. 저자는 5년 넘는 기간 동안 전 세계 40여 개국에서 1만여 명의 사람들을 만났다. 특정한 사람과 약속을 정해서 만난 것이 아니라, 그냥 길거리에서 만난 보통의 사람들에게 가만히 말을 건넨 것이다. 그렇게 다가가 대화를 나누고 사진을 찍었다.",K522838216,17820,19800,BOOK,https://image.aladin.co.kr/product/29820/53/coversum/k522838216_1.jpg,51376,국내도서>에세이>사진/그림 에세이,프시케의숲,10,2
사울 레이터 더 가까이,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298464023&partner=openAPI&start=api,"사울 레이터 (지은이), 송예슬 (옮긴이)",2022-07-25,"사울 레이터의 국내 최초 컬러 슬라이드 사진집. 오늘날 그를 ‘컬러 사진의 선구자’로 만든 전설적인 초기작 76점을 엄선해 담았다. 책에 실린 모든 사진은 지금까지 한 번도 공개되지 않았던 미발표 컬러 슬라이드로, 사울 ‘레이터 스타일’의 핵심을 보여준다.",K112838020,27000,30000,BOOK,https://image.aladin.co.kr/product/29846/40/coversum/k112838020_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,윌북,9,3
사울 레이터의 모든 것,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282909502&partner=openAPI&start=api,"사울 레이터 (지은이), 조동섭 (옮긴이)",2021-10-30,"뉴욕이 낳은 전설, 사울 레이터 사진 에세이 한국어판 정식 출간. 60년 만에 세상에 알려진 천재 포토그래퍼 사울 레이터의 작품과 언어를 담은 사진 에세이다. 사진과 회화로 구성된 대표작 230점과 그의 남긴 말들을 집대성한, 그야말로 ‘사울 레이터의 모든 것’이다.",K032835090,19800,22000,BOOK,https://image.aladin.co.kr/product/28290/95/coversum/k032835090_2.jpg,51063,국내도서>예술/대중문화>사진>사진집,윌북,10,4
윤미네 집 - 윤미 태어나서 시집가던 날까지,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=6134841&partner=openAPI&start=api,전몽각 (지은이),2010-01-01,"사진을 사랑했던 생활인, 고 전몽각 선생의 사진집. 수많은 독자들이 헌책방을 돌며 애타게 찾던 &lt;윤미네 집&gt;이 20년 만에 세상에 나왔다. 초판본만 1990년 약 1,000부가 출간됐다. 초판본에 실렸던 사진 뿐 아니라 전몽각 선생이 작고하기 전 정리했던 ‘마이 와이프My Wife’ 사진과 원고가 덧붙여졌다. ‘마이 와이프’는 전몽각 선생의 마지막 소원인 사랑하는 아내를 담았던 사진을 모아 사진집으로 묶은 것이다.",8993818088,25200,28000,BOOK,https://image.aladin.co.kr/product/613/48/coversum/8993818088_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,포토넷,9,5
이린의 코스프레 액션 포즈집,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=299014007&partner=openAPI&start=api,"쿠몬 야스시 (사진), 네코노싯포 (감수)",2022-08-03,"일러스트, 만화, 애니메이션 제작, 사진 촬영 등에 쓸 수 있는 포즈 사진집이다. 일본에서 활발하게 활동하고 있는 모델 이린이 강하고 멋진 액션 포즈를 시연했다. 다양한 코스프레 의상 연출로 여러분의 일러스트에 참고 자료가 되도록 구성했다.",K962838038,14850,16500,BOOK,https://image.aladin.co.kr/product/29901/40/coversum/k962838038_1.jpg,2564,국내도서>만화>만화그리기와 읽기>만화작법/일러스트,한즈미디어(한스미디어),10,6
사라져 가는 존재들,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=295017971&partner=openAPI&start=api,"팀 플래치 (지은이), 장정문 (옮긴이), 조홍섭 (감수)",2022-05-20,"사진작가 팀 플래치가 멸종 위기에 처한 생물종의 모습을 담은 사진과 간결한 설명을 통해 이들이 어떤 위협에 처해 있는지 알려준다. 그는 동물들의 심오하고, 처연하고, 기이하고, 심금을 울리는 초상을 통해 이들의 “인간적인” 면을 부각해 독자의 교감을 끌어내고 관심을 유도한다.",K022837149,27000,30000,BOOK,https://image.aladin.co.kr/product/29501/79/coversum/k022837149_1.jpg,51281,국내도서>과학>동물과 식물>동물도감,소우주,10,7
1950 한국전쟁 70주년 사진집,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=242227601&partner=openAPI&start=api,존 리치 (지은이),2020-06-15,"개전부터 휴전까지 한국전쟁을 곁에서 지켜본 종군기자 존 리치의 한국전쟁 컬러사진집이다. 무명의 참전용사들, 유엔군 장병들, 그리고 참혹한 전쟁 속에서도 희망을 잃지 않고 삶을 살아낸 사람들의 모습을 담았다.",K972630269,18000,20000,BOOK,https://image.aladin.co.kr/product/24222/76/coversum/k972630269_1.jpg,1753,국내도서>역사>한국근현대사>해방전후사/한국전쟁,서울셀렉션,9,8
사토리얼리스트 맨 - 남자의 책,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269507207&partner=openAPI&start=api,"스콧 슈만 (지은이), 안진이 (옮긴이)",2021-04-16,세계적인 패션 블로그 &lt;더 사토리얼리스트&gt;의 운영자이자 스트리트 패션 사진의 선구자 스콧 슈만이 그동안 찍은 남자들의 사진과 남성 패션 노하우를 담은 책이다. 전형적인 ‘남성성’을 피하고 오직 길거리에서 자신의 개성을 스타일로 표현한 ‘진짜 남자’들의 모습을 포착했다.,K692730813,25200,28000,BOOK,https://image.aladin.co.kr/product/26950/72/coversum/k692730813_1.jpg,53506,국내도서>가정/요리/뷰티>패션/뷰티>스타일/패션,윌북,0,9
사울 레이터 Saul Leiter,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=287391115&partner=openAPI&start=api,"사울 레이터 (지은이), 마이클 파릴로 (글), 강수정 (옮긴이)",2022-01-20,"열화당 사진문고 시리즈. 사울 레이터 재단의 부이사장이자 약 이십 년간 편집자로 일했던 마이클 파릴로의 작가론으로 시작해, 다루는 주제와 스타일에 따라 네 가지 시리즈로 묶어 선별한 사진 81점을 소개한다.",8930107311,16000,16000,BOOK,https://image.aladin.co.kr/product/28739/11/coversum/8930107311_1.jpg,51063,국내도서>예술/대중문화>사진>사진집,열화당,8,10
The Blue Day Book 누구에게나 우울한 날은 있다 (클래식 블루 에디션),http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=229486809&partner=openAPI&start=api,"브래들리 트레버 그리브 (지은이), 신현림 (옮긴이)",2020-01-22,2001년 출간되어 20년 가까이 많은 독자들의 사랑을 받은 사진 에세이 &lt;The Blue Day Book  블루 데이 북&gt;이 '클래식 블루 에디션(Classic Blue Edition)'으로 출간되었다. '클래식 블루'는 2020년 올해 미국의 세계적인 색채 연구소 '팬톤'이 선정한 색이다.,K502637397,9000,10000,BOOK,https://image.aladin.co.kr/product/22948/68/coversum/k502637397_1.jpg,51376,국내도서>에세이>사진/그림 에세이,바다출판사,4,11
