name,poster_link,start_period,end_period
만선 FULL SHIP | 권민호 개인전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1633565505934.jpg,20211005,20211102
노석순의 <그리움>전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1521096458649.jpg,20180302,20180330
그녀의 정서적 배경,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1537406457669.jpg,20180920,20181003
그레이_공평한 색상,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1542328447035.jpg,20181115,20181128
김미성展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1479082740716.jpg,20161111,20161124
손민광의 <새앙쥐 스토리-치유의 기류 형성>展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1467678231629.jpg,20160701,20160728
일어나다. 서다. 바라보다.,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1530669206467.jpg,20180628,20180711
박은영의 <On the edge of the time>展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1467678908162.jpg,20160701,20160714
시각적 햅틱,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1529295091693.jpg,20180614,20180627
행궁 동행 (行宮 同行),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1542672640819.jpg,20181115,20181128
썸남썸녀 - 우리가 정말 사랑했을까?,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1489370821096.jpg,20170301,20170328
시가 내린 숲,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40210&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20211111,20220430
"수묵 추상회화의 거장, <지홍 박봉수 회고전>",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1614298638961.jpg,20210304,20210328
[2017 시민큐레이터 기획전시] 《양식산 인간》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220107110825_99728a04f57944ca995702ed9f6e4f44_4475351400f54ba38c1583c2bd750b0f,20171025,20171025
[2018 시민큐레이터 기획전시] 《Hindsight; 뒤늦은 깨달음》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220107094804_989b5c74aada40679900c438437b884e_9d55090db57a4508bd63d24d01db452f,20180901,20180901
<한국의 봄날>殿,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1618272773663.jpg,20210331,20210425
허브아일랜드식물박물관상설전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1604449469060.jpg,20201022,20201231
얼리버드감성사진관,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1536890348674.gif,20180929,20181231
금속공예전 : 은은하게 빛나는,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1611634887974.jpg,20201201,20210131
생애 첫 문화나들이 : 이정윤의 트렁크프로젝트 My first trip into Art : TRUNK PROJECT,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1513643621533.jpg,20170901,20171231
권진용 개인전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1483490243980.jpg,20170106,20170115
남도예술은행 순회기획전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1481517549768.jpg,20161122,20161217
예울마루 기획전시 <라이프 사진전>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1539570177629.jpg,20181012,20181216
여수청년미술작가회展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1480644031447.jpg,20161213,20161218
예울마루 개관5주년 기념전시 < I am your Energy + 장도의 기억 >,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1495412828087.jpg,20170512,20170702
50주년 기념 여수미술협회전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1482798389078.jpg,20161223,20161229
박동화 개인전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1537232134837.jpg,20180921,20180930
어린이 미술전 <움직이는 미술>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1508462046697.jpg,20170929,20171203
살아있는 그림전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1463723021419.jpg,20160401,20160626
풍속화 속의 농기구를 찾아라!,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1501114382896.jpg,20170718,20170917
"다 함께 잘 사는 길, 협동(協同)",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1485305214760.jpg,20161110,20170226
개관 30주년 특별전 '농업박물관史',https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1516840914107.jpg,20171107,20180128
여행갈까요,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=37375&fileTy=POSTTHUMB&fileNo=4&thumbTy=M,20210305,20210926
코리아나 화장박물관 소장품 테마전 26 <백자에 물든 푸른빛>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1602721915581.jpg,20200820,20210304
히든 워커스,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1525306210094.jpg,20180405,20180616
Expressive Art & Design,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1545616264208.jpg,20181226,20181231
보안이 강화되었습니다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1556176118316.jpg,20190425,20190706
"12m 아래, 종(種)들의 스펙터클",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1656550568599.jpg,20220708,20220723
"《아무튼, 젊음》",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1566960764245.jpg,20190829,20191109
코리아나 화장박물관 특별기획전시 <時時刻갓>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1590713053532.jpg,20200514,20200718
[코리아나미술관] 애프터워크살롱 #1. <프로필: 구천을 떠도는 네트워크의 유령들>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1633566164793.jpg,20211014,20211014
"소장품 테마전 27 < 자연의 빛, 옻칠 >",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1617667762447.jpg,20210407,20211030
"《점, 곁에서 말하는 점들 Dots, speaking nearby dots》",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1655166555782.png,20220613,20220630
코리아나미술관 기획전 《re: Sense》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1537496907802.jpg,20180823,20181110
코리아나미술관 2020 특별기획전 《호랑이는 살아있다》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1599808378441.jpg,20200907,20201219
[코리아나미술관] 기획전《프로필을 설정하세요》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1630455365819.jpg,20210902,20211127
[코리아나미술관] 기획전 《나의 꽃은 가깝고 낯설다》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1624320228178.jpg,20210525,20210710
趣向心向 취향심향II:  미술평론가의 수집미학,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1519687471017.jpg,20180222,20180316
국립김해박물관 특별전 <황금문명 엘도라도>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1545267190252.jpg,20181127,20190303
남해유배문학관-독도박물관 공동기획전: 남해에서 만나는 독도,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1529287974905.jpg,20180417,20180731
아내의 꽃 남편의 고궁 <이용환 심죽자 부부초대展>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1500255043417.jpg,20170511,20170731
세실 깡뗄 마르코 Cecile Quentel Marcaud 초대전 <꿈꾸는 여인>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1521679630202.jpg,20180308,20180411
Art of Remediation,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1603932835477.jpg,20201101,20201125
전시공간 리플랫 서지민 개인전 <[Web발신]무료수신거부>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1630548190530.jpg,20210827,20210918
인도미술품전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1597284140805.jpg,20200814,20201231
Dak展 2017 정유년,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1484891250312.jpg,20170112,20170208
나의 하루 이야기- 헝가리에서 온 편지,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41323&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20220617,20220912
마야 : 신성한 도시 - 타칼리크 아바흐,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=39864&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20211109,20220206
성균관과 반촌,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=32273&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20191108,20200301
서울은 소설의 주인공이다,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=33993&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20200417,20200823
어느 도시학자가 꿈 꾼 서울,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=39898&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20211029,20220306
"차가웠던 그 시절, 영맨들의 뜨거웠던 움직임",https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=32637&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20191203,20200127
